subject,run_no,campaign_name,artifact_dir,n_intervals,n_blocks
parserf,1,parserf_aflpp_run_01,/Volumes/PRJ-FSS/ISSRE2026/campaign_artifacts/parserf_aflpp_run_01,673,331301
parserf,2,parserf_aflpp_run_02,/Volumes/PRJ-FSS/ISSRE2026/campaign_artifacts/parserf_aflpp_run_02,673,331301
parserf,3,parserf_aflpp_run_03,/Volumes/PRJ-FSS/ISSRE2026/campaign_artifacts/parserf_aflpp_run_03,673,331301
parsera,1,parsera_aflpp_run_01,/Volumes/PRJ-FSS/ISSRE2026/campaign_artifacts/parsera_aflpp_run_01,673,104952
parsera,2,parsera_aflpp_run_02,/Volumes/PRJ-FSS/ISSRE2026/campaign_artifacts/parsera_aflpp_run_02,673,104952
parsera,3,parsera_aflpp_run_03,/Volumes/PRJ-FSS/ISSRE2026/campaign_artifacts/parsera_aflpp_run_03,673,104952
parserb,1,parserb_aflpp_run_01,/Volumes/PRJ-FSS/ISSRE2026/campaign_artifacts/parserb_aflpp_run_01,673,194852
parserb,2,parserb_aflpp_run_02,/Volumes/PRJ-FSS/ISSRE2026/campaign_artifacts/parserb_aflpp_run_02,673,194852
parserb,3,parserb_aflpp_run_03,/Volumes/PRJ-FSS/ISSRE2026/campaign_artifacts/parserb_aflpp_run_03,673,194852
parserc,1,parserc_aflpp_run_01,/Volumes/PRJ-FSS/ISSRE2026/campaign_artifacts/parserc_aflpp_run_01,673,100500
parserc,2,parserc_aflpp_run_02,/Volumes/PRJ-FSS/ISSRE2026/campaign_artifacts/parserc_aflpp_run_02,673,100500
parserc,3,parserc_aflpp_run_03,/Volumes/PRJ-FSS/ISSRE2026/campaign_artifacts/parserc_aflpp_run_03,673,100500
parserd,1,parserd_aflpp_run_01,/Volumes/PRJ-FSS/ISSRE2026/campaign_artifacts/parserd_aflpp_run_01,673,136455
parserd,2,parserd_aflpp_run_02,/Volumes/PRJ-FSS/ISSRE2026/campaign_artifacts/parserd_aflpp_run_02,673,136455
parserd,3,parserd_aflpp_run_03,/Volumes/PRJ-FSS/ISSRE2026/campaign_artifacts/parserd_aflpp_run_03,673,136455
parsere,1,parsere_aflpp_run_01,/Volumes/PRJ-FSS/ISSRE2026/campaign_artifacts/parsere_aflpp_run_01,673,231510
parsere,2,parsere_aflpp_run_02,/Volumes/PRJ-FSS/ISSRE2026/campaign_artifacts/parsere_aflpp_run_02,673,231510
parsere,3,parsere_aflpp_run_03,/Volumes/PRJ-FSS/ISSRE2026/campaign_artifacts/parsere_aflpp_run_03,673,231510
