subject,model,fit_family,n_obs,S_obs,lambda,p0,p_seen,estimate,unseen,loglik,aic,bic,rmse,rate,scale,mean,shape,size,prob,fit_input,base_model,best_by_rmse,best_by_aic,best_by_bic,best_by_loglik,n_obs_discrete,gof_stat,gof_p,gof_name,mu,J,C,s,q,pred,ranks
parsera,Negative Binomial (incidence-frequency),zero-truncated Negative Binomial on incidence frequencies,9995,9995.0,416.3016508254127,0.0015947681550307,0.9984052318449692,10010.965168451768,15.965168451768475,-70249.98899333624,140503.9779866725,140518.39766716634,90.58961564110642,0.0026028983813739,384.1871074014591,415.6371744588256,1.081879918550059,1.0818446868460958,0.0025961010588478,incidence_frequency,Negative Binomial,Gamma (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),,,,,,,,,,,
parserb,Gamma-Poisson (incidence-frequency),zero-truncated Gamma-Poisson on incidence frequencies,19502,19502.0,254.73279663624243,0.0033981804548306,0.9966018195451694,19568.49728500431,66.49728500430865,-127667.41028561626,255338.82057123253,255354.5771158393,86.64604588228741,0.0040472606079744,247.08070392839463,254.73279663624248,1.0309700133850417,1.0309700133850417,0.0040309463177298,incidence_frequency,Gamma-Poisson,Negative Binomial (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
parserd,Negative Binomial (incidence-frequency),zero-truncated Negative Binomial on incidence frequencies,8897,8897.0,367.86759581881535,0.0008772136741119,0.999122786325888,8904.811422345068,7.811422345068422,-61341.88639093885,122687.7727818777,122701.9597207182,57.534886574086265,0.003360291344816,297.59324337834425,367.546811523557,1.2350750500203451,1.235070008800005,0.0033490528430194,incidence_frequency,Negative Binomial,Gamma (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),,,,,,,,,,,
parsere,Gamma-Poisson (incidence-frequency),zero-truncated Gamma-Poisson on incidence frequencies,12236,12236.0,276.5688950637463,0.0058255497427184,0.9941744502572816,12307.699113403543,71.69911340354338,-79626.60060108418,159257.20120216836,159272.0254775789,122.56813998538696,0.0032446485001141,308.19979420415507,276.5688950637463,0.897368850546811,0.897368850546811,0.0032341548045783,incidence_frequency,Gamma-Poisson,Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
parserf,Gamma-Poisson (incidence-frequency),zero-truncated Gamma-Poisson on incidence frequencies,14186,14186.0,262.2001268856619,0.0100904674966004,0.9899095325033996,14330.60247851617,144.60247851616987,-89780.47955318345,179564.9591063669,179580.07912805042,139.1195068438635,0.003019286612827,331.2040651429439,262.20012688566203,0.7916573329874422,0.7916573329874422,0.0030101979624172,incidence_frequency,Gamma-Poisson,Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
freetype2,Gamma-Poisson (incidence-frequency),zero-truncated Gamma-Poisson on incidence frequencies,7204,7204.0,461.8244031093837,0.0004150283416656,0.9995849716583344,7206.991105566943,2.9911055669426787,-51242.75323107657,102489.50646215312,102503.27124556572,72.98491076610692,0.0028825862477647,346.9106954823718,461.632843538076,1.3306964862994075,1.3306130717022548,0.0028740897878632,incidence_frequency,Gamma-Poisson,Exponential (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
jasper,Negative Binomial (incidence-frequency),zero-truncated Negative Binomial on incidence frequencies,4643,4643.0,478.203962954986,0.0002280276584778,0.9997719723415222,4644.05897389365,1.058973893649636,-33126.27565630561,66256.55131261122,66269.43754458726,57.63829054883197,0.0030216125497635,330.9491152590863,478.0954640282531,1.4446298560978614,1.4446307575271256,0.003012533828214,incidence_frequency,Negative Binomial,Exponential (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),,,,,,,,,,,
jsoncpp,Negative Binomial (incidence-frequency),zero-truncated Negative Binomial on incidence frequencies,1108,1108.0,564.8483754512636,7.657888942100223e-11,0.9999999999234211,1108.0000000848493,8.484926183882635e-08,-7640.109028923528,15284.218057847056,15294.23868158167,57.9518622681228,0.0086703121748379,115.33610091942217,564.8481836680579,4.89742192747348,4.896945236407305,0.0085949751704299,incidence_frequency,Negative Binomial,Gamma-Poisson (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),,,,,,,,,,,
libpcap,Gamma-Poisson (incidence-frequency),zero-truncated Gamma-Poisson on incidence frequencies,1723,1723.0,504.8862449216483,1.2610676409405898e-07,0.999999873893236,1723.000217281982,0.0002172819820316,-12000.98433199256,24005.96866398512,24016.87230845817,22.641956236938757,0.0061781741147486,161.86011941825691,504.8864557800491,3.119276431987488,3.119250564030968,0.006140164745182,incidence_frequency,Gamma-Poisson,Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
libtiff,Gamma-Poisson (incidence-frequency),zero-truncated Gamma-Poisson on incidence frequencies,6217,6217.0,300.17612996622165,0.0102029915021871,0.9897970084978128,6281.085865712372,64.08586571237174,-41549.7053659204,83103.4107318408,83116.88081734935,44.48699179470202,0.0025897929281148,386.13125750092354,297.11540356228267,0.7694673709796003,0.7694358965028971,0.002582980872403,incidence_frequency,Gamma-Poisson,Negative Binomial (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
libxml2,Gamma-Poisson (incidence-frequency),zero-truncated Gamma-Poisson on incidence frequencies,13055,13055.0,385.821600919188,0.0515765594512742,0.9484234405487256,13764.948694695711,709.9486946957131,-88338.01870586924,176680.03741173848,176694.99126470074,199.7358836236754,0.0012052790824878,829.6833609157993,365.9121232427677,0.4410262281732108,0.4410829725209375,0.0012039223984652,incidence_frequency,Gamma-Poisson,Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
zlib,Gamma-Poisson (incidence-frequency),zero-truncated Gamma-Poisson on incidence frequencies,632,632.0,654.5696202531645,1.9231994749754005e-134,1.0,632.0,0.0,-3392.0531439152965,6788.106287830593,6797.004066618887,54.8563507113834,0.3465693323485183,2.8854255315192647,654.5677479307653,226.85310737723856,226.85210268692776,0.2573725540248768,incidence_frequency,Gamma-Poisson,Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
