subject,model,fit_family,n_obs,S_obs,lambda,p0,p_seen,estimate,unseen,loglik,aic,bic,rmse,rate,scale,mean,shape,size,prob,fit_input,base_model,best_by_rmse,best_by_aic,best_by_bic,best_by_loglik,n_obs_discrete,gof_stat,gof_p,gof_name,mu,J,C,s,q,pred,ranks
parsera,Gamma (incidence-frequency),discretized zero-truncated Gamma on incidence frequencies,9995,9995.0,416.3016508254127,0.0015639335968425,0.9984360664031576,10010.656001246783,15.65600124678349,-70250.75630071791,140505.51260143582,140519.93228192968,90.58869701019474,0.0025920780403741,385.7908536795596,416.15204139238,1.0786985679500802,1.0818446868460958,0.0025961010588478,incidence_frequency,Gamma,Gamma (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),,,,,,,,,,,
parserb,Negative Binomial (incidence-frequency),zero-truncated Negative Binomial on incidence frequencies,19502,19502.0,254.73279663624243,0.0033981804548306,0.9966018195451694,19568.49728500431,66.49728500430865,-127667.41028561749,255338.82057123492,255354.57711584173,86.64604588228718,0.0040472606079744,247.08070392839463,254.73279663624248,1.0309700133850417,1.0309700133850417,0.0040309463177298,incidence_frequency,Negative Binomial,Negative Binomial (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
parserd,Gamma (incidence-frequency),discretized zero-truncated Gamma on incidence frequencies,8897,8897.0,367.86759581881535,0.0008214315978729,0.9991785684021272,8904.31428511118,7.314285111180652,-61345.74541006281,122695.49082012562,122709.6777589661,57.53381395324821,0.0033296833018031,300.3288629457499,368.0668455123897,1.2255460294499754,1.235070008800005,0.0033490528430194,incidence_frequency,Gamma,Gamma (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),,,,,,,,,,,
parsere,Gamma-Poisson (incidence-frequency),zero-truncated Gamma-Poisson on incidence frequencies,12236,12236.0,276.5688950637463,0.0058255497427184,0.9941744502572816,12307.699113403543,71.69911340354338,-79626.60060108418,159257.20120216836,159272.0254775789,122.56813998538696,0.0032446485001141,308.19979420415507,276.5688950637463,0.897368850546811,0.897368850546811,0.0032341548045783,incidence_frequency,Gamma-Poisson,Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
parserf,Gamma-Poisson (incidence-frequency),zero-truncated Gamma-Poisson on incidence frequencies,14186,14186.0,262.2001268856619,0.0100904674966004,0.9899095325033996,14330.60247851617,144.60247851616987,-89780.47955318345,179564.9591063669,179580.07912805042,139.1195068438635,0.003019286612827,331.2040651429439,262.20012688566203,0.7916573329874422,0.7916573329874422,0.0030101979624172,incidence_frequency,Gamma-Poisson,Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
freetype2,Exponential (incidence-frequency),discretized zero-truncated Exponential on incidence frequencies,7204,7204.0,461.8244031093837,0.0021653249169539,0.997834675083046,7219.63285090332,15.632850903320104,-51394.065722817744,102790.13144563547,102797.0138373418,72.97756155884511,0.0021676726225945,461.3242745129409,461.3242745129409,1.3306964862994075,1.3306130717022548,0.0028740897878632,incidence_frequency,Exponential,Exponential (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
jasper,Exponential (incidence-frequency),discretized zero-truncated Exponential on incidence frequencies,4643,4643.0,478.203962954986,0.0020911619626738,0.9979088380373262,4652.729611185518,9.72961118551757,-33285.62536939152,66573.25073878304,66579.69385477106,57.62310968850634,0.0020933514948276,477.70286188002666,477.70286188002666,1.4446298560978614,1.4446307575271256,0.003012533828214,incidence_frequency,Exponential,Exponential (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),,,,,,,,,,,
jsoncpp,Gamma-Poisson (incidence-frequency),zero-truncated Gamma-Poisson on incidence frequencies,1108,1108.0,564.8483754512636,7.644067123664822e-11,0.9999999999235594,1108.0000000846962,8.469623935525307e-08,-7640.109030349861,15284.218060699724,15294.238684434336,57.95185599112786,0.0086703121748379,115.33610091942217,564.8495496720722,4.89742192747348,4.896945236407305,0.0085949751704299,incidence_frequency,Gamma-Poisson,Gamma-Poisson (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),,,,,,,,,,,
libpcap,Gamma-Poisson (incidence-frequency),zero-truncated Gamma-Poisson on incidence frequencies,1723,1723.0,504.8862449216483,1.2610676409405898e-07,0.999999873893236,1723.000217281982,0.0002172819820316,-12000.98433199256,24005.96866398512,24016.87230845817,22.641956236938757,0.0061781741147486,161.86011941825691,504.8864557800491,3.119276431987488,3.119250564030968,0.006140164745182,incidence_frequency,Gamma-Poisson,Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
libtiff,Negative Binomial (incidence-frequency),zero-truncated Negative Binomial on incidence frequencies,6217,6217.0,300.17612996622165,0.0102045333153711,0.9897954666846288,6281.095649815576,64.0956498155756,-41549.70537246349,83103.41074492698,83116.88083043552,44.4869826763072,0.0025897929281148,386.13125750092354,297.11736021711533,0.7694673709796003,0.7694358965028971,0.002582980872403,incidence_frequency,Negative Binomial,Negative Binomial (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
libxml2,Gamma-Poisson (incidence-frequency),zero-truncated Gamma-Poisson on incidence frequencies,13055,13055.0,385.821600919188,0.0515765594512742,0.9484234405487256,13764.948694695711,709.9486946957131,-88338.01870586924,176680.03741173848,176694.99126470074,199.7358836236754,0.0012052790824878,829.6833609157993,365.9121232427677,0.4410262281732108,0.4410829725209375,0.0012039223984652,incidence_frequency,Gamma-Poisson,Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
zlib,Poisson (incidence-frequency),zero-truncated Poisson on incidence frequencies,632,632.0,654.5696202531645,5.2969503545031784e-285,1.0,632.0,0.0,-3769.683312970153,7541.366625940306,7545.815515334453,54.43775738606156,0.3465693323485183,2.8854255315192647,654.5677479307653,226.85310737723856,226.85210268692776,0.2573725540248768,incidence_frequency,Poisson,Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
