subject,artifact_key,program_type,has_known_total,target_type,known_total,observed_total,observed_total_hitcount,observed_total_for_estimator,estimate_total,estimated_unseen_vs_observed,signed_error,abs_error,rel_error,coverage_completion,estimator,estimator_input,estimator_label,n_campaigns,F1,F2,F3,t,p0,p_seen,loglik,aic,bic,rmse,lambda,shape,scale,rate,size,prob,mean,J,s,q,method_note,estimator_family
parsera,parsera,synthetic,True,known_total,104952.0,9995,9995,9995,9995.0,0.0,-94957.0,94957.0,0.9047659882613004,0.0952340117386996,Zipf-Mandelbrot,incidence_sum_axis1,Zipf-Mandelbrot (coverage-frequency estimator),3,,,,,,,-66559.03980503471,133122.07961006943,133136.49929056328,188.72578039303173,,,,,,,,4160935.0,0.3074734066834577,100.0,Zipf-Mandelbrot estimator on coverage-frequency rank data.,standard_parametric
parserb,parserb,synthetic,True,known_total,194852.0,19502,19502,19502,19502.0,0.0,-175350.0,175350.0,0.8999137807156201,0.1000862192843799,Zipf-Mandelbrot,incidence_sum_axis1,Zipf-Mandelbrot (coverage-frequency estimator),3,,,,,,,-127941.21978724928,255886.4395744985,255902.19611910533,170.96806726129762,,,,,,,,4967799.0,0.4374604819534937,100.0,Zipf-Mandelbrot estimator on coverage-frequency rank data.,standard_parametric
parserd,parserd,synthetic,True,known_total,136455.0,8897,8897,8897,8897.0,0.0,-127558.0,127558.0,0.9347990179912792,0.0652009820087208,Zipf-Mandelbrot,incidence_sum_axis1,Zipf-Mandelbrot (coverage-frequency estimator),3,,,,,,,-56632.00208361389,113268.0041672278,113282.19110606828,140.66108891772677,,,,,,,,3272918.0,0.3401640752716308,100.0,Zipf-Mandelbrot estimator on coverage-frequency rank data.,standard_parametric
parsere,parsere,synthetic,True,known_total,231510.0,12236,12236,12236,12236.0,0.0,-219274.0,219274.0,0.9471469914906484,0.0528530085093516,Zipf-Mandelbrot,incidence_sum_axis1,Zipf-Mandelbrot (coverage-frequency estimator),3,,,,,,,-83094.2000755393,166192.4001510786,166207.22442648912,215.29788296479964,,,,,,,,3384097.0,0.4544406200499885,100.0,Zipf-Mandelbrot estimator on coverage-frequency rank data.,standard_parametric
parserf,parserf,synthetic,True,known_total,331301.0,14186,14186,14186,14186.0,0.0,-317115.0,317115.0,0.9571809321432776,0.0428190678567224,Zipf-Mandelbrot,incidence_sum_axis1,Zipf-Mandelbrot (coverage-frequency estimator),3,,,,,,,-96582.70673370344,193169.41346740688,193184.5334890904,219.06597766552505,,,,,,,,3719571.0,0.4610004942252833,100.0,Zipf-Mandelbrot estimator on coverage-frequency rank data.,standard_parametric
freetype2,freetype2,real_world,False,unknown,,7204,7204,7204,7204.0,0.0,,,,,Zipf-Mandelbrot,incidence_sum_axis1,Zipf-Mandelbrot (coverage-frequency estimator),3,,,,,,,-47351.3463154576,94706.6926309152,94720.4574143278,173.12012528687546,,,,,,,,3326983.0,0.2702857866968273,100.0,Zipf-Mandelbrot estimator on coverage-frequency rank data.,standard_parametric
jasper,jasper,real_world,False,unknown,,4643,4643,4643,4643.0,0.0,,,,,Zipf-Mandelbrot,incidence_sum_axis1,Zipf-Mandelbrot (coverage-frequency estimator),3,,,,,,,-30423.90941112076,60851.81882224151,60864.70505421755,169.64395766164944,,,,,,,,2220301.0,0.2740536064312817,100.0,Zipf-Mandelbrot estimator on coverage-frequency rank data.,standard_parametric
jsoncpp,jsoncpp,real_world,False,unknown,,1108,1108,1108,1108.0,0.0,,,,,Zipf-Mandelbrot,incidence_sum_axis1,Zipf-Mandelbrot (coverage-frequency estimator),3,,,,,,,-7165.505015093703,14335.010030187406,14345.03065392202,155.7300025350955,,,,,,,,625852.0,0.2580579599050355,100.0,Zipf-Mandelbrot estimator on coverage-frequency rank data.,standard_parametric
libpcap,libpcap,real_world,False,unknown,,1723,1723,1723,1723.0,0.0,,,,,Zipf-Mandelbrot,incidence_sum_axis1,Zipf-Mandelbrot (coverage-frequency estimator),3,,,,,,,-11108.49035210526,22220.98070421052,22231.884348683576,152.66424143372095,,,,,,,,869919.0,0.3163685448301193,100.0,Zipf-Mandelbrot estimator on coverage-frequency rank data.,standard_parametric
libtiff,libtiff,real_world,False,unknown,,6217,6217,6217,6217.0,0.0,,,,,Zipf-Mandelbrot,incidence_sum_axis1,Zipf-Mandelbrot (coverage-frequency estimator),3,,,,,,,-40953.34212855368,81910.68425710736,81924.1543426159,175.6296004745863,,,,,,,,1866195.0,0.4794025191146244,100.0,Zipf-Mandelbrot estimator on coverage-frequency rank data.,standard_parametric
libxml2,libxml2,real_world,False,unknown,,13055,13055,13055,13055.0,0.0,,,,,Zipf-Mandelbrot,incidence_sum_axis1,Zipf-Mandelbrot (coverage-frequency estimator),3,,,,,,,-91065.2974179146,182134.5948358292,182149.5486887915,258.93383541960657,,,,,,,,5036901.0,0.3339934832995054,100.0,Zipf-Mandelbrot estimator on coverage-frequency rank data.,standard_parametric
zlib,zlib,real_world,False,unknown,,632,632,632,632.0,0.0,,,,,Zipf-Mandelbrot,incidence_sum_axis1,Zipf-Mandelbrot (coverage-frequency estimator),3,,,,,,,-3227.332742480106,6458.665484960212,6467.563263748506,39.94887918159431,,,,,,,,413688.0,0.0586921945791577,100.0,Zipf-Mandelbrot estimator on coverage-frequency rank data.,standard_parametric
