subject,run_no,campaign_name,estimator_label,estimate_total
parsera,1,parsera_aflpp_run_01,Chao2 (incidence-based),9569.41850248724
parsera,1,parsera_aflpp_run_01,Chao2_bc (incidence-based),9567.017447155251
parsera,1,parsera_aflpp_run_01,Jackknife1 (incidence-based),9588.759286775632
parsera,1,parsera_aflpp_run_01,Chao1 (incidence-based),9569.630434782608
parsera,1,parsera_aflpp_run_01,Poisson (incidence-frequency estimator),9427.0
parsera,1,parsera_aflpp_run_01,Exponential (incidence-frequency estimator),9427000000000000.0
parsera,1,parsera_aflpp_run_01,Gamma (incidence-frequency estimator),9427000000000000.0
parsera,1,parsera_aflpp_run_01,Negative Binomial (incidence-frequency estimator),9452.312673150558
parsera,1,parsera_aflpp_run_01,ztPoisson (incidence-frequency estimator),9427.0
parsera,1,parsera_aflpp_run_01,ztNB (incidence-frequency estimator),9452.312673150558
parsera,1,parsera_aflpp_run_01,Gamma-Poisson (incidence-frequency estimator),9452.308836377504
parsera,1,parsera_aflpp_run_01,Lanumteang-Bohning (incidence-based),9705.45289512616
parsera,1,parsera_aflpp_run_01,Chiu (incidence-based),9428.30988917306
parsera,1,parsera_aflpp_run_01,Beta-Binomial (incidence-based),9638.886738389392
parsera,1,parsera_aflpp_run_01,Zipf-Mandelbrot (coverage-frequency estimator),9427.0
parsera,1,parsera_aflpp_run_01,Poisson (hit-count estimator),9427.0
parsera,1,parsera_aflpp_run_01,Exponential (hit-count estimator),9427.00051578171
parsera,1,parsera_aflpp_run_01,Gamma (hit-count estimator),10064.583761097816
parsera,1,parsera_aflpp_run_01,Negative Binomial (hit-count estimator),10089.501210294387
parsera,2,parsera_aflpp_run_02,Chao2 (incidence-based),9248.561585985766
parsera,2,parsera_aflpp_run_02,Chao2_bc (incidence-based),9246.68824859487
parsera,2,parsera_aflpp_run_02,Jackknife1 (incidence-based),9290.744427934622
parsera,2,parsera_aflpp_run_02,Chao1 (incidence-based),9248.754385964912
parsera,2,parsera_aflpp_run_02,Poisson (incidence-frequency estimator),9119.0
parsera,2,parsera_aflpp_run_02,Exponential (incidence-frequency estimator),9119000000000000.0
parsera,2,parsera_aflpp_run_02,Gamma (incidence-frequency estimator),9119000000000000.0
parsera,2,parsera_aflpp_run_02,Negative Binomial (incidence-frequency estimator),9152.726712618933
parsera,2,parsera_aflpp_run_02,ztPoisson (incidence-frequency estimator),9119.0
parsera,2,parsera_aflpp_run_02,ztNB (incidence-frequency estimator),9152.726712618933
parsera,2,parsera_aflpp_run_02,Gamma-Poisson (incidence-frequency estimator),9152.729398248926
parsera,2,parsera_aflpp_run_02,Lanumteang-Bohning (incidence-based),9286.434676256662
parsera,2,parsera_aflpp_run_02,Chiu (incidence-based),9119.924156545208
parsera,2,parsera_aflpp_run_02,Beta-Binomial (incidence-based),9277.718737178986
parsera,2,parsera_aflpp_run_02,Zipf-Mandelbrot (coverage-frequency estimator),9119.0
parsera,2,parsera_aflpp_run_02,Poisson (hit-count estimator),9119.0
parsera,2,parsera_aflpp_run_02,Exponential (hit-count estimator),9119.000523195964
parsera,2,parsera_aflpp_run_02,Gamma (hit-count estimator),9728.004632408089
parsera,2,parsera_aflpp_run_02,Negative Binomial (hit-count estimator),9724.250132307401
parsera,3,parsera_aflpp_run_03,Chao2 (incidence-based),9218.538342270173
parsera,3,parsera_aflpp_run_03,Chao2_bc (incidence-based),9216.039256099315
parsera,3,parsera_aflpp_run_03,Jackknife1 (incidence-based),9234.753343239227
parsera,3,parsera_aflpp_run_03,Chao1 (incidence-based),9218.760869565218
parsera,3,parsera_aflpp_run_03,Poisson (incidence-frequency estimator),9069.0
parsera,3,parsera_aflpp_run_03,Exponential (incidence-frequency estimator),9069000000000000.0
parsera,3,parsera_aflpp_run_03,Gamma (incidence-frequency estimator),9069000000000000.0
parsera,3,parsera_aflpp_run_03,Negative Binomial (incidence-frequency estimator),9098.13284206948
parsera,3,parsera_aflpp_run_03,ztPoisson (incidence-frequency estimator),9069.0
parsera,3,parsera_aflpp_run_03,ztNB (incidence-frequency estimator),9098.13284206948
parsera,3,parsera_aflpp_run_03,Gamma-Poisson (incidence-frequency estimator),9098.145916633275
parsera,3,parsera_aflpp_run_03,Lanumteang-Bohning (incidence-based),9412.650237322265
parsera,3,parsera_aflpp_run_03,Chiu (incidence-based),9070.353260869566
parsera,3,parsera_aflpp_run_03,Beta-Binomial (incidence-based),9293.307513405258
parsera,3,parsera_aflpp_run_03,Zipf-Mandelbrot (coverage-frequency estimator),9069.0
parsera,3,parsera_aflpp_run_03,Poisson (hit-count estimator),9069.0
parsera,3,parsera_aflpp_run_03,Exponential (hit-count estimator),9069.000518370229
parsera,3,parsera_aflpp_run_03,Gamma (hit-count estimator),9661.571061063443
parsera,3,parsera_aflpp_run_03,Negative Binomial (hit-count estimator),10093.080133704476
parserb,1,parserb_aflpp_run_01,Chao2 (incidence-based),20005.49508243119
parserb,1,parserb_aflpp_run_01,Chao2_bc (incidence-based),20003.43518923171
parserb,1,parserb_aflpp_run_01,Jackknife1 (incidence-based),20147.955423476968
parserb,1,parserb_aflpp_run_01,Chao1 (incidence-based),20006.327664399094
parserb,1,parserb_aflpp_run_01,Poisson (incidence-frequency estimator),19446.0
parserb,1,parserb_aflpp_run_01,Exponential (incidence-frequency estimator),1.9446e+16
parserb,1,parserb_aflpp_run_01,Gamma (incidence-frequency estimator),1.9446e+16
parserb,1,parserb_aflpp_run_01,Negative Binomial (incidence-frequency estimator),19924.886043327002
parserb,1,parserb_aflpp_run_01,ztPoisson (incidence-frequency estimator),19446.0
parserb,1,parserb_aflpp_run_01,ztNB (incidence-frequency estimator),19924.886043327002
parserb,1,parserb_aflpp_run_01,Gamma-Poisson (incidence-frequency estimator),19924.886043327002
parserb,1,parserb_aflpp_run_01,Lanumteang-Bohning (incidence-based),20588.350339174136
parserb,1,parserb_aflpp_run_01,Chiu (incidence-based),19447.19557823129
parserb,1,parserb_aflpp_run_01,Beta-Binomial (incidence-based),20285.242623646784
parserb,1,parserb_aflpp_run_01,Zipf-Mandelbrot (coverage-frequency estimator),19446.0
parserb,1,parserb_aflpp_run_01,Poisson (hit-count estimator),19446.0
parserb,1,parserb_aflpp_run_01,Exponential (hit-count estimator),19446.00201872086
parserb,1,parserb_aflpp_run_01,Gamma (hit-count estimator),21091.611494726818
parserb,1,parserb_aflpp_run_01,Negative Binomial (hit-count estimator),21062.248744488694
parserb,2,parserb_aflpp_run_02,Chao2 (incidence-based),19967.32493939157
parserb,2,parserb_aflpp_run_02,Chao2_bc (incidence-based),19965.412883948225
parserb,2,parserb_aflpp_run_02,Jackknife1 (incidence-based),20132.968796433877
parserb,2,parserb_aflpp_run_02,Chao1 (incidence-based),19968.109649122805
parserb,2,parserb_aflpp_run_02,Poisson (incidence-frequency estimator),19440.0
parserb,2,parserb_aflpp_run_02,Exponential (incidence-frequency estimator),1.944e+16
parserb,2,parserb_aflpp_run_02,Gamma (incidence-frequency estimator),1.944e+16
parserb,2,parserb_aflpp_run_02,Negative Binomial (incidence-frequency estimator),19892.411749478808
parserb,2,parserb_aflpp_run_02,ztPoisson (incidence-frequency estimator),19440.0
parserb,2,parserb_aflpp_run_02,ztNB (incidence-frequency estimator),19892.411749478808
parserb,2,parserb_aflpp_run_02,Gamma-Poisson (incidence-frequency estimator),19892.411749478808
parserb,2,parserb_aflpp_run_02,Lanumteang-Bohning (incidence-based),20484.340793181807
parserb,2,parserb_aflpp_run_02,Chiu (incidence-based),19441.137119697978
parserb,2,parserb_aflpp_run_02,Beta-Binomial (incidence-based),20227.988468509848
