subject,estimator_label,n,mean_estimate,median_estimate,std_estimate,min_estimate,max_estimate,mean_unseen_vs_observed
freetype2,Chao2 (incidence-based),1,7433.86307006515,7433.86307006515,,7433.86307006515,7433.86307006515,229.86307006515017
freetype2,Chao2_bc (incidence-based),1,7426.44398216939,7426.44398216939,,7426.44398216939,7426.44398216939,222.44398216939044
freetype2,Chiu (incidence-based),1,7206.576923076923,7206.576923076923,,7206.576923076923,7206.576923076923,2.576923076922867
freetype2,Jackknife1 (incidence-based),1,7337.800891530461,7337.800891530461,,7337.800891530461,7337.800891530461,133.80089153046083
freetype2,Lanumteang-Bohning (incidence-based),1,7873.274869771911,7873.274869771911,,7873.274869771911,7873.274869771911,669.2748697719107
jasper,Chao2 (incidence-based),1,4694.284794452699,4694.284794452699,,4694.284794452699,4694.284794452699,51.28479445269932
jasper,Chao2_bc (incidence-based),1,4690.455697192461,4690.455697192461,,4690.455697192461,4690.455697192461,47.45569719246123
jasper,Chiu (incidence-based),1,4644.194444444444,4644.194444444444,,4644.194444444444,4644.194444444444,1.1944444444443434
jasper,Jackknife1 (incidence-based),1,4685.936106983655,4685.936106983655,,4685.936106983655,4685.936106983655,42.93610698365501
jasper,Lanumteang-Bohning (incidence-based),1,4694.1233281893,4694.1233281893,,4694.1233281893,4694.1233281893,51.12332818930008
jsoncpp,Chao2 (incidence-based),1,1108.0,1108.0,,1108.0,1108.0,0.0
jsoncpp,Chao2_bc (incidence-based),1,1108.0,1108.0,,1108.0,1108.0,0.0
jsoncpp,Chiu (incidence-based),1,1108.0,1108.0,,1108.0,1108.0,0.0
jsoncpp,Jackknife1 (incidence-based),1,1108.0,1108.0,,1108.0,1108.0,0.0
jsoncpp,Lanumteang-Bohning (incidence-based),1,1108.0,1108.0,,1108.0,1108.0,0.0
libpcap,Chao2 (incidence-based),1,1723.0,1723.0,,1723.0,1723.0,0.0
libpcap,Chao2_bc (incidence-based),1,1723.0,1723.0,,1723.0,1723.0,0.0
libpcap,Chiu (incidence-based),1,1723.0,1723.0,,1723.0,1723.0,0.0
libpcap,Jackknife1 (incidence-based),1,1723.0,1723.0,,1723.0,1723.0,0.0
libpcap,Lanumteang-Bohning (incidence-based),1,1723.0,1723.0,,1723.0,1723.0,0.0
libtiff,Chao2 (incidence-based),1,6235.258543833581,6235.258543833581,,6235.258543833581,6235.258543833581,18.25854383358092
libtiff,Chao2_bc (incidence-based),1,6234.078034533996,6234.078034533996,,6234.078034533996,6234.078034533996,17.078034533996288
libtiff,Chiu (incidence-based),1,6217.857142857143,6217.857142857143,,6217.857142857143,6217.857142857143,0.857142857143117
libtiff,Jackknife1 (incidence-based),1,6248.952451708767,6248.952451708767,,6248.952451708767,6248.952451708767,31.952451708766603
libtiff,Lanumteang-Bohning (incidence-based),1,6275.215743440233,6275.215743440233,,6275.215743440233,6275.215743440233,58.21574344023338
libxml2,Chao2 (incidence-based),1,13095.556359150403,13095.556359150403,,13095.556359150403,13095.556359150403,40.55635915040512
libxml2,Chao2_bc (incidence-based),1,13095.217929668152,13095.217929668152,,13095.217929668152,13095.217929668152,40.217929668153374
libxml2,Chiu (incidence-based),1,13055.232095490715,13055.232095490715,,13055.232095490715,13055.232095490715,0.2320954907154373
libxml2,Jackknife1 (incidence-based),1,13229.73997028232,13229.73997028232,,13229.73997028232,13229.73997028232,174.7399702823186
libxml2,Lanumteang-Bohning (incidence-based),1,13085.381302020936,13085.381302020936,,13085.381302020936,13085.381302020936,30.381302020936342
zlib,Chao2 (incidence-based),1,632.0,632.0,,632.0,632.0,0.0
zlib,Chao2_bc (incidence-based),1,632.0,632.0,,632.0,632.0,0.0
zlib,Chiu (incidence-based),1,632.0,632.0,,632.0,632.0,0.0
zlib,Jackknife1 (incidence-based),1,632.0,632.0,,632.0,632.0,0.0
zlib,Lanumteang-Bohning (incidence-based),1,632.0,632.0,,632.0,632.0,0.0
