subject,estimator_label,n,mean_estimate,mean_abs_error,median_abs_error,rmse,mean_rel_error,median_rel_error,mean_signed_error,mean_completion
parsera,Beta-Binomial (incidence-based),1,10038.90695153882,94913.09304846117,94913.09304846117,94913.09304846117,0.9043476355711294,0.9043476355711294,-94913.09304846117,0.0952340117386996
parsera,Chao1 (incidence-based),1,10028.959595959595,94923.04040404041,94923.04040404041,94923.04040404041,0.9044424156189536,0.9044424156189536,-94923.04040404041,0.0952340117386996
parsera,Chao2 (incidence-based),1,10028.909135935883,94923.09086406411,94923.09086406411,94923.09086406411,0.9044428964103982,0.9044428964103982,-94923.09086406411,0.0952340117386996
parsera,Chao2_bc (incidence-based),1,10028.160653789004,94923.839346211,94923.839346211,94923.839346211,0.9044500280719853,0.9044500280719853,-94923.839346211,0.0952340117386996
parsera,Chiu (incidence-based),1,9995.536247430053,94956.46375256995,94956.46375256995,94956.46375256995,0.9047608788071685,0.9047608788071685,-94956.46375256995,0.0952340117386996
parsera,Exponential (hit-count estimator),1,9995.000611756026,94956.99938824397,94956.99938824397,94956.99938824397,0.9047659824323879,0.9047659824323879,-94956.99938824397,0.0952340117386996
parsera,Exponential (incidence-frequency estimator),1,9995000000000000.0,9994999999895048.0,9994999999895048.0,9994999999895048.0,95234011737.6996,95234011737.6996,9994999999895048.0,0.0952340117386996
parsera,Gamma (hit-count estimator),1,10822.392170479987,94129.60782952001,94129.60782952001,94129.60782952001,0.8968824589290344,0.8968824589290344,-94129.60782952001,0.0952340117386996
parsera,Gamma (incidence-frequency estimator),1,10010.656001246783,94941.34399875322,94941.34399875322,94941.34399875322,0.9046168152941652,0.9046168152941652,-94941.34399875322,0.0952340117386996
parsera,Gamma-Poisson (incidence-frequency estimator),1,10010.962079968202,94941.0379200318,94941.0379200318,94941.0379200318,0.9046138989255259,0.9046138989255259,-94941.0379200318,0.0952340117386996
parsera,Jackknife1 (incidence-based),1,10076.878157503716,94875.12184249629,94875.12184249629,94875.12184249629,0.9039858396457074,0.9039858396457074,-94875.12184249629,0.0952340117386996
parsera,Lanumteang-Bohning (incidence-based),1,10043.1588025959,94908.8411974041,94908.8411974041,94908.8411974041,0.9043071232316116,0.9043071232316116,-94908.8411974041,0.0952340117386996
parsera,Negative Binomial (hit-count estimator),1,10792.494763623548,94159.50523637646,94159.50523637646,94159.50523637646,0.8971673263623033,0.8971673263623033,-94159.50523637646,0.0952340117386996
parsera,Negative Binomial (incidence-frequency estimator),1,10010.965168451768,94941.03483154823,94941.03483154823,94941.03483154823,0.9046138694979441,0.9046138694979441,-94941.03483154823,0.0952340117386996
parsera,Poisson (hit-count estimator),1,9995.0,94957.0,94957.0,94957.0,0.9047659882613004,0.9047659882613004,-94957.0,0.0952340117386996
parsera,Poisson (incidence-frequency estimator),1,9995.0,94957.0,94957.0,94957.0,0.9047659882613004,0.9047659882613004,-94957.0,0.0952340117386996
parsera,Zipf-Mandelbrot (coverage-frequency estimator),1,9995.0,94957.0,94957.0,94957.0,0.9047659882613004,0.9047659882613004,-94957.0,0.0952340117386996
parsera,ztNB (incidence-frequency estimator),1,10010.965168451768,94941.03483154823,94941.03483154823,94941.03483154823,0.9046138694979441,0.9046138694979441,-94941.03483154823,0.0952340117386996
parsera,ztPoisson (incidence-frequency estimator),1,9995.0,94957.0,94957.0,94957.0,0.9047659882613004,0.9047659882613004,-94957.0,0.0952340117386996
parserb,Beta-Binomial (incidence-based),1,19514.352751949267,175337.64724805072,175337.64724805072,175337.64724805072,0.8998503851541206,0.8998503851541206,-175337.64724805072,0.10008621928437994
parserb,Chao1 (incidence-based),1,19510.24742268041,175341.7525773196,175341.7525773196,175341.7525773196,0.8998714541155318,0.8998714541155318,-175341.7525773196,0.10008621928437994
parserb,Chao2 (incidence-based),1,19510.235167966177,175341.76483203383,175341.76483203383,175341.76483203383,0.8998715170079539,0.8998715170079539,-175341.76483203383,0.10008621928437994
parserb,Chao2_bc (incidence-based),1,19509.94735724899,175342.05264275102,175342.05264275102,175342.05264275102,0.8998729940814106,0.8998729940814106,-175342.05264275102,0.10008621928437994
