subject,estimator_label,n,mean_estimate,mean_abs_error,median_abs_error,rmse,mean_rel_error,median_rel_error,mean_signed_error,mean_completion
parsera,Beta-Binomial (incidence-based),1,10038.90695153882,94913.09304846117,94913.09304846117,94913.09304846117,0.9043476355711294,0.9043476355711294,-94913.09304846117,0.0952340117386996
parsera,Chao1 (incidence-based),1,10028.959595959595,94923.04040404041,94923.04040404041,94923.04040404041,0.9044424156189536,0.9044424156189536,-94923.04040404041,0.0952340117386996
parsera,Chao2 (incidence-based),1,10028.909135935883,94923.09086406411,94923.09086406411,94923.09086406411,0.9044428964103982,0.9044428964103982,-94923.09086406411,0.0952340117386996
parsera,Chao2_bc (incidence-based),1,10028.160653789004,94923.839346211,94923.839346211,94923.839346211,0.9044500280719853,0.9044500280719853,-94923.839346211,0.0952340117386996
parsera,Chiu (incidence-based),1,9995.536247430053,94956.46375256995,94956.46375256995,94956.46375256995,0.9047608788071685,0.9047608788071685,-94956.46375256995,0.0952340117386996
parsera,Jackknife1 (incidence-based),1,10076.878157503716,94875.12184249629,94875.12184249629,94875.12184249629,0.9039858396457074,0.9039858396457074,-94875.12184249629,0.0952340117386996
parsera,Lanumteang-Bohning (incidence-based),1,10043.1588025959,94908.8411974041,94908.8411974041,94908.8411974041,0.9043071232316116,0.9043071232316116,-94908.8411974041,0.0952340117386996
parserb,Beta-Binomial (incidence-based),1,19514.352751949267,175337.64724805072,175337.64724805072,175337.64724805072,0.8998503851541206,0.8998503851541206,-175337.64724805072,0.10008621928437994
parserb,Chao1 (incidence-based),1,19510.24742268041,175341.7525773196,175341.7525773196,175341.7525773196,0.8998714541155318,0.8998714541155318,-175341.7525773196,0.10008621928437994
parserb,Chao2 (incidence-based),1,19510.235167966177,175341.76483203383,175341.76483203383,175341.76483203383,0.8998715170079539,0.8998715170079539,-175341.76483203383,0.10008621928437994
parserb,Chao2_bc (incidence-based),1,19509.94735724899,175342.05264275102,175342.05264275102,175342.05264275102,0.8998729940814106,0.8998729940814106,-175342.05264275102,0.10008621928437994
parserb,Chiu (incidence-based),1,19502.309278350516,175349.69072164947,175349.69072164947,175349.69072164947,0.8999121934681167,0.8999121934681167,-175349.69072164947,0.10008621928437994
parserb,Jackknife1 (incidence-based),1,19541.94056463596,175310.05943536403,175310.05943536403,175310.05943536403,0.8997088017334389,0.8997088017334389,-175310.05943536403,0.10008621928437994
parserb,Lanumteang-Bohning (incidence-based),1,19532.083063704085,175319.91693629592,175319.91693629592,175319.91693629592,0.8997593914165414,0.8997593914165414,-175319.91693629592,0.10008621928437994
parserd,Beta-Binomial (incidence-based),1,8938.805707392627,127516.19429260737,127516.19429260737,127516.19429260737,0.9344926480715794,0.9344926480715794,-127516.19429260737,0.06520098200872082
parserd,Chao1 (incidence-based),1,8932.955056179775,127522.04494382022,127522.04494382022,127522.04494382022,0.9345355241201877,0.9345355241201877,-127522.04494382022,0.06520098200872082
parserd,Chao2 (incidence-based),1,8932.901631133445,127522.09836886656,127522.09836886656,127522.09836886656,0.9345359156415416,0.9345359156415416,-127522.09836886656,0.06520098200872082
parserd,Chao2_bc (incidence-based),1,8932.05894006934,127522.94105993066,127522.94105993066,127522.94105993066,0.9345420912383617,0.9345420912383617,-127522.94105993066,0.06520098200872082
parserd,Chiu (incidence-based),1,8897.523348978333,127557.47665102167,127557.47665102167,127557.47665102167,0.9347951826684378,0.9347951826684378,-127557.47665102167,0.06520098200872082
parserd,Jackknife1 (incidence-based),1,8976.881129271917,127478.11887072808,127478.11887072808,127478.11887072808,0.934213615263113,0.934213615263113,-127478.11887072808,0.06520098200872082
parserd,Lanumteang-Bohning (incidence-based),1,8940.03167940718,127514.96832059282,127514.96832059282,127514.96832059282,0.9344836636297154,0.9344836636297154,-127514.96832059282,0.06520098200872082
parsere,Beta-Binomial (incidence-based),1,12252.232418320773,219257.76758167922,219257.76758167922,219257.76758167922,0.947076876081721,0.947076876081721,-219257.76758167922,0.05285300850935165
parsere,Chao1 (incidence-based),1,12252.25657370518,219257.74342629482,219257.74342629482,219257.74342629482,0.9470767717433148,0.9470767717433148,-219257.74342629482,0.05285300850935165
