subject,estimator_label,n,mean_estimate,mean_abs_error,median_abs_error,rmse,mean_rel_error,median_rel_error,mean_signed_error,mean_completion
parsera,Exponential (incidence-frequency estimator),1,9995000000000000.0,9994999999895048.0,9994999999895048.0,9994999999895048.0,95234011737.6996,95234011737.6996,9994999999895048.0,0.0952340117386996
parsera,Gamma (incidence-frequency estimator),1,10010.656001246783,94941.34399875322,94941.34399875322,94941.34399875322,0.9046168152941652,0.9046168152941652,-94941.34399875322,0.0952340117386996
parsera,Gamma-Poisson (incidence-frequency estimator),1,10010.962079968202,94941.0379200318,94941.0379200318,94941.0379200318,0.9046138989255259,0.9046138989255259,-94941.0379200318,0.0952340117386996
parsera,Negative Binomial (incidence-frequency estimator),1,10010.965168451768,94941.03483154823,94941.03483154823,94941.03483154823,0.9046138694979441,0.9046138694979441,-94941.03483154823,0.0952340117386996
parsera,Poisson (incidence-frequency estimator),1,9995.0,94957.0,94957.0,94957.0,0.9047659882613004,0.9047659882613004,-94957.0,0.0952340117386996
parsera,Zipf-Mandelbrot (coverage-frequency estimator),1,9995.0,94957.0,94957.0,94957.0,0.9047659882613004,0.9047659882613004,-94957.0,0.0952340117386996
parserb,Exponential (incidence-frequency estimator),1,1.9502e+16,1.9501999999805148e+16,1.9501999999805148e+16,1.9501999999805148e+16,100086219283.37994,100086219283.37994,1.9501999999805148e+16,0.10008621928437994
parserb,Gamma (incidence-frequency estimator),1,1.9502e+16,1.9501999999805148e+16,1.9501999999805148e+16,1.9501999999805148e+16,100086219283.37994,100086219283.37994,1.9501999999805148e+16,0.10008621928437994
parserb,Gamma-Poisson (incidence-frequency estimator),1,19568.49728500431,175283.5027149957,175283.5027149957,175283.5027149957,0.899572509981913,0.899572509981913,-175283.5027149957,0.10008621928437994
parserb,Negative Binomial (incidence-frequency estimator),1,19568.49728500431,175283.5027149957,175283.5027149957,175283.5027149957,0.899572509981913,0.899572509981913,-175283.5027149957,0.10008621928437994
parserb,Poisson (incidence-frequency estimator),1,19502.0,175350.0,175350.0,175350.0,0.8999137807156201,0.8999137807156201,-175350.0,0.10008621928437994
parserb,Zipf-Mandelbrot (coverage-frequency estimator),1,19502.0,175350.0,175350.0,175350.0,0.8999137807156201,0.8999137807156201,-175350.0,0.10008621928437994
parserd,Exponential (incidence-frequency estimator),1,8897000000000000.0,8896999999863545.0,8896999999863545.0,8896999999863545.0,65200982007.720825,65200982007.720825,8896999999863545.0,0.06520098200872082
parserd,Gamma (incidence-frequency estimator),1,8904.31428511118,127550.68571488882,127550.68571488882,127550.68571488882,0.9347454158139227,0.9347454158139227,-127550.68571488882,0.06520098200872082
parserd,Gamma-Poisson (incidence-frequency estimator),1,8904.811153786442,127550.18884621355,127550.18884621355,127550.18884621355,0.9347417745499509,0.9347417745499509,-127550.18884621355,0.06520098200872082
parserd,Negative Binomial (incidence-frequency estimator),1,8904.811422345068,127550.18857765493,127550.18857765493,127550.18857765493,0.9347417725818397,0.9347417725818397,-127550.18857765493,0.06520098200872082
parserd,Poisson (incidence-frequency estimator),1,8897.0,127558.0,127558.0,127558.0,0.9347990179912792,0.9347990179912792,-127558.0,0.06520098200872082
parserd,Zipf-Mandelbrot (coverage-frequency estimator),1,8897.0,127558.0,127558.0,127558.0,0.9347990179912792,0.9347990179912792,-127558.0,0.06520098200872082
parsere,Exponential (incidence-frequency estimator),1,1.2236e+16,1.223599999976849e+16,1.223599999976849e+16,1.223599999976849e+16,52853008508.35165,52853008508.35165,1.223599999976849e+16,0.05285300850935165
parsere,Gamma (incidence-frequency estimator),1,1.2236e+16,1.223599999976849e+16,1.223599999976849e+16,1.223599999976849e+16,52853008508.35165,52853008508.35165,1.223599999976849e+16,0.05285300850935165
parsere,Gamma-Poisson (incidence-frequency estimator),1,12307.699113403543,219202.30088659647,219202.30088659647,219202.30088659647,0.9468372894760333,0.9468372894760333,-219202.30088659647,0.05285300850935165
parsere,Negative Binomial (incidence-frequency estimator),1,12307.699113403543,219202.30088659647,219202.30088659647,219202.30088659647,0.9468372894760333,0.9468372894760333,-219202.30088659647,0.05285300850935165
parsere,Poisson (incidence-frequency estimator),1,12236.0,219274.0,219274.0,219274.0,0.9471469914906484,0.9471469914906484,-219274.0,0.05285300850935165
parsere,Zipf-Mandelbrot (coverage-frequency estimator),1,12236.0,219274.0,219274.0,219274.0,0.9471469914906484,0.9471469914906484,-219274.0,0.05285300850935165
parserf,Exponential (incidence-frequency estimator),1,1.4186e+16,1.41859999996687e+16,1.41859999996687e+16,1.41859999996687e+16,42819067855.72244,42819067855.72244,1.41859999996687e+16,0.04281906785672244
parserf,Gamma (incidence-frequency estimator),1,1.4186e+16,1.41859999996687e+16,1.41859999996687e+16,1.41859999996687e+16,42819067855.72244,42819067855.72244,1.41859999996687e+16,0.04281906785672244
parserf,Gamma-Poisson (incidence-frequency estimator),1,14330.60247851617,316970.3975214838,316970.3975214838,316970.3975214838,0.9567444635587693,0.9567444635587693,-316970.3975214838,0.04281906785672244
parserf,Negative Binomial (incidence-frequency estimator),1,14330.60247851617,316970.3975214838,316970.3975214838,316970.3975214838,0.9567444635587693,0.9567444635587693,-316970.3975214838,0.04281906785672244
parserf,Poisson (incidence-frequency estimator),1,14186.0,317115.0,317115.0,317115.0,0.9571809321432776,0.9571809321432776,-317115.0,0.04281906785672244
parserf,Zipf-Mandelbrot (coverage-frequency estimator),1,14186.0,317115.0,317115.0,317115.0,0.9571809321432776,0.9571809321432776,-317115.0,0.04281906785672244
