subject,artifact_key,program_type,has_known_total,target_type,known_total,observed_total,observed_total_hitcount,observed_total_for_estimator,estimate_total,estimated_unseen_vs_observed,signed_error,abs_error,rel_error,coverage_completion,estimator,estimator_input,estimator_label,n_campaigns,F1,F2,F3,t,p0,p_seen,loglik,aic,bic,rmse,lambda,shape,scale,rate,size,prob,mean,J,s,q,method_note,estimator_family
parsera,parsera,synthetic,True,known_total,104952.0,9995,9995,9995,10038.90695153882,43.90695153882007,-94913.09304846116,94913.09304846116,0.9043476355711294,0.0952340117386996,Beta-Binomial,incidence_frequency,Beta-Binomial (incidence-based),3,82.0,99.0,113.0,673.0,0.0016308957834763,0.9983691042165236,,,,,,,,,,,,,,,"Beta-Binomial estimator (Chiu 2022 Eq. 7). Parameters alpha_BB=alpha_GP, beta_BB=beta_GP*T derived from Gamma-Poisson fit.",non_parametric
parsera,parsera,synthetic,True,known_total,104952.0,9995,9995,9995,10028.959595959595,33.95959595959539,-94923.0404040404,94923.0404040404,0.9044424156189536,0.0952340117386996,Chao1,incidence_frequency,Chao1 (incidence-based),3,82.0,99.0,,673.0,,,,,,,,,,,,,,,,,,non_parametric
parsera,parsera,synthetic,True,known_total,104952.0,9995,9995,9995,10028.909135935884,33.90913593588266,-94923.09086406411,94923.09086406411,0.9044428964103982,0.0952340117386996,Chao2,incidence_frequency,Chao2 (incidence-based),3,82.0,99.0,,673.0,,,,,,,,,,,,,,,,,,non_parametric
parsera,parsera,synthetic,True,known_total,104952.0,9995,9995,9995,10028.160653789004,33.160653789003845,-94923.839346211,94923.839346211,0.9044500280719852,0.0952340117386996,Chao2_bc,incidence_frequency,Chao2_bc (incidence-based),3,82.0,99.0,,673.0,,,,,,,,,,,,,,,,,,non_parametric
parsera,parsera,synthetic,True,known_total,104952.0,9995,9995,9995,9995.536247430053,0.5362474300527538,-94956.46375256997,94956.46375256997,0.9047608788071684,0.0952340117386996,Chiu,incidence_frequency,Chiu (incidence-based),3,82.0,99.0,113.0,673.0,,,,,,,,,,,,,,,,,,non_parametric
parsera,parsera,synthetic,True,known_total,104952.0,9995,9995,9995,9995000000000000.0,9994999999990004.0,9994999999895048.0,9994999999895048.0,95234011737.6996,0.0952340117386996,Exponential,incidence_frequency,Exponential (incidence-frequency estimator),3,82.0,99.0,,673.0,1.0,1e-12,-6628129.34528894,13256260.69057788,13256267.900418129,91.38836957933071,,,0.0024748669157955,404.0621310251552,,,,,,,Incidence-frequency discretized Exponential estimator.,standard_parametric
parsera,parsera,synthetic,True,known_total,104952.0,9995,9995,9995,10010.656001246783,15.65600124678349,-94941.34399875322,94941.34399875322,0.9046168152941652,0.0952340117386996,Gamma,incidence_frequency,Gamma (incidence-frequency estimator),3,82.0,99.0,,673.0,0.0015639335968425,0.9984360664031576,-70250.75630071791,140505.51260143582,140519.93228192968,90.58869701019474,,1.0786985679500802,385.7908536795596,0.0025920780403741,,,,,,,Incidence-frequency discretized Gamma estimator.,standard_parametric
parsera,parsera,synthetic,True,known_total,104952.0,9995,9995,9995,10010.962079968202,15.96207996820158,-94941.0379200318,94941.0379200318,0.904613898925526,0.0952340117386996,Gamma-Poisson,incidence_frequency,Gamma-Poisson (incidence-frequency estimator),3,82.0,99.0,,673.0,0.0015944601368675,0.9984055398631324,-70249.98899928454,140503.97799856908,140518.39767906294,90.58962093004772,,1.081879918550059,384.1871074014591,0.0026028983813739,,,,,,,Gamma-Poisson estimator from incidence-frequency fit.,standard_parametric
parsera,parsera,synthetic,True,known_total,104952.0,9995,9995,9995,10076.878157503716,81.87815750371556,-94875.12184249629,94875.12184249629,0.9039858396457074,0.0952340117386996,Jackknife1,incidence_frequency,Jackknife1 (incidence-based),3,82.0,99.0,,673.0,,,,,,,,,,,,,,,,,,non_parametric
parsera,parsera,synthetic,True,known_total,104952.0,9995,9995,9995,10043.1588025959,48.15880259590085,-94908.8411974041,94908.8411974041,0.9043071232316116,0.0952340117386996,Lanumteang-Bohning,incidence_frequency,Lanumteang-Bohning (incidence-based),3,82.0,99.0,113.0,673.0,,,,,,,,,,,,,,,,,,non_parametric
parsera,parsera,synthetic,True,known_total,104952.0,9995,9995,9995,10010.965168451768,15.965168451768475,-94941.03483154824,94941.03483154824,0.904613869497944,0.0952340117386996,Negative Binomial,incidence_frequency,Negative Binomial (incidence-frequency estimator),3,82.0,99.0,,673.0,0.0015947681550307,0.9984052318449692,-70249.98899333624,140503.9779866725,140518.39766716634,90.58961564110642,,,,,1.0818446868460958,0.0025961010588478,415.6371744588256,,,,Incidence-frequency Negative Binomial estimator.,standard_parametric
parsera,parsera,synthetic,True,known_total,104952.0,9995,9995,9995,9995.0,0.0,-94957.0,94957.0,0.9047659882613004,0.0952340117386996,Poisson,incidence_frequency,Poisson (incidence-frequency estimator),3,82.0,99.0,,673.0,1.5940070552852254e-181,1.0,-1034494.5911870638,2068991.182374128,2068998.3922143744,99.57935421843472,416.3016508254127,,,,,,,,,,Incidence-frequency Poisson estimator.,standard_parametric
parsera,parsera,synthetic,True,known_total,104952.0,9995,9995,9995,10010.965168451768,15.965168451768475,-94941.03483154824,94941.03483154824,0.904613869497944,0.0952340117386996,ztNB,incidence_frequency,ztNB (incidence-frequency estimator),3,82.0,99.0,,673.0,0.0015947681550307,0.9984052318449692,-70249.98899333624,140503.9779866725,140518.39766716634,90.58961564110642,,,,,1.0818446868460958,0.0025961010588478,,,,,Zero-truncated Negative Binomial-style estimator from fitted incidence model.,zero_truncated_parametric
parsera,parsera,synthetic,True,known_total,104952.0,9995,9995,9995,9995.0,0.0,-94957.0,94957.0,0.9047659882613004,0.0952340117386996,ztPoisson,incidence_frequency,ztPoisson (incidence-frequency estimator),3,82.0,99.0,,673.0,1.5940070552852254e-181,1.0,-1034494.5911870638,2068991.182374128,2068998.3922143744,99.57935421843472,416.3016508254127,,,,,,,,,,Zero-truncated Poisson-style estimator from fitted Poisson incidence model.,zero_truncated_parametric
parserb,parserb,synthetic,True,known_total,194852.0,19502,19502,19502,19514.352751949267,12.352751949267258,-175337.64724805072,175337.64724805072,0.8998503851541206,0.1000862192843799,Beta-Binomial,incidence_frequency,Beta-Binomial (incidence-based),3,40.0,97.0,572.0,673.0,0.0034168028353497,0.9965831971646504,,,,,,,,,,,,,,,"Beta-Binomial estimator (Chiu 2022 Eq. 7). Parameters alpha_BB=alpha_GP, beta_BB=beta_GP*T derived from Gamma-Poisson fit.",non_parametric
parserb,parserb,synthetic,True,known_total,194852.0,19502,19502,19502,19510.24742268041,8.247422680411546,-175341.7525773196,175341.7525773196,0.8998714541155318,0.1000862192843799,Chao1,incidence_frequency,Chao1 (incidence-based),3,40.0,97.0,,673.0,,,,,,,,,,,,,,,,,,non_parametric
parserb,parserb,synthetic,True,known_total,194852.0,19502,19502,19502,19510.235167966177,8.23516796617696,-175341.76483203383,175341.76483203383,0.8998715170079539,0.1000862192843799,Chao2,incidence_frequency,Chao2 (incidence-based),3,40.0,97.0,,673.0,,,,,,,,,,,,,,,,,,non_parametric
parserb,parserb,synthetic,True,known_total,194852.0,19502,19502,19502,19509.94735724899,7.947357248991466,-175342.05264275102,175342.05264275102,0.8998729940814106,0.1000862192843799,Chao2_bc,incidence_frequency,Chao2_bc (incidence-based),3,40.0,97.0,,673.0,,,,,,,,,,,,,,,,,,non_parametric
parserb,parserb,synthetic,True,known_total,194852.0,19502,19502,19502,19502.30927835052,0.3092783505162515,-175349.69072164947,175349.69072164947,0.8999121934681167,0.1000862192843799,Chiu,incidence_frequency,Chiu (incidence-based),3,40.0,97.0,572.0,673.0,,,,,,,,,,,,,,,,,,non_parametric
parserb,parserb,synthetic,True,known_total,194852.0,19502,19502,19502,1.9502e+16,1.9501999999980496e+16,1.9501999999805148e+16,1.9501999999805148e+16,100086219283.37994,0.1000862192843799,Exponential,incidence_frequency,Exponential (incidence-frequency estimator),3,40.0,97.0,,673.0,1.0,1e-12,-12932644.171268124,25865290.34253625,25865298.22080855,93.60352671985764,,,2.061153622438558e-09,485165195.4097903,,,,,,,Incidence-frequency discretized Exponential estimator.,standard_parametric
