subject,artifact_key,program_type,has_known_total,target_type,known_total,observed_total,observed_total_hitcount,observed_total_for_estimator,estimate_total,estimated_unseen_vs_observed,signed_error,abs_error,rel_error,coverage_completion,estimator,estimator_input,estimator_label,n_campaigns,F1,F2,F3,t,p0,p_seen,loglik,aic,bic,rmse,lambda,shape,scale,rate,size,prob,mean,J,s,q,method_note,estimator_family
freetype2,freetype2,real_world,False,unknown,,7204,7204,7204,7433.86307006515,229.86307006515017,,,,,Chao2,incidence_frequency,Chao2 (incidence-based),3,134.0,39.0,,673.0,,,,,,,,,,,,,,,,,,other
freetype2,freetype2,real_world,False,unknown,,7204,7204,7204,7426.44398216939,222.44398216939044,,,,,Chao2_bc,incidence_frequency,Chao2_bc (incidence-based),3,134.0,39.0,,673.0,,,,,,,,,,,,,,,,,,other
freetype2,freetype2,real_world,False,unknown,,7204,7204,7204,7206.576923076923,2.576923076922867,,,,,Chiu,incidence_frequency,Chiu (incidence-based),3,134.0,39.0,22.0,673.0,,,,,,,,,,,,,,,,,,other
freetype2,freetype2,real_world,False,unknown,,7204,7204,7204,7206.991105566943,2.9911055669426787,,,,,Gamma-Poisson,incidence_frequency,Gamma-Poisson (incidence-frequency estimator),3,134.0,39.0,,673.0,0.0004150283416656,0.9995849716583344,-51242.75323107657,102489.50646215312,102503.27124556572,72.98491076610692,,1.3306964862994075,346.9106954823718,0.0028825862477647,,,,,,,Gamma-Poisson estimator from incidence-frequency fit.,standard_parametric
freetype2,freetype2,real_world,False,unknown,,7204,7204,7204,7337.800891530461,133.80089153046083,,,,,Jackknife1,incidence_frequency,Jackknife1 (incidence-based),3,134.0,39.0,,673.0,,,,,,,,,,,,,,,,,,other
freetype2,freetype2,real_world,False,unknown,,7204,7204,7204,7873.274869771911,669.2748697719107,,,,,Lanumteang-Bohning,incidence_frequency,Lanumteang-Bohning (incidence-based),3,134.0,39.0,22.0,673.0,,,,,,,,,,,,,,,,,,other
jasper,jasper,real_world,False,unknown,,4643,4643,4643,4694.284794452699,51.28479445269932,,,,,Chao2,incidence_frequency,Chao2 (incidence-based),3,43.0,18.0,,673.0,,,,,,,,,,,,,,,,,,other
jasper,jasper,real_world,False,unknown,,4643,4643,4643,4690.455697192461,47.45569719246123,,,,,Chao2_bc,incidence_frequency,Chao2_bc (incidence-based),3,43.0,18.0,,673.0,,,,,,,,,,,,,,,,,,other
jasper,jasper,real_world,False,unknown,,4643,4643,4643,4644.194444444444,1.1944444444443434,,,,,Chiu,incidence_frequency,Chiu (incidence-based),3,43.0,18.0,5.0,673.0,,,,,,,,,,,,,,,,,,other
jasper,jasper,real_world,False,unknown,,4643,4643,4643,4644.058967288355,1.058967288355234,,,,,Gamma-Poisson,incidence_frequency,Gamma-Poisson (incidence-frequency estimator),3,43.0,18.0,,673.0,0.0002280262364914,0.9997719737635086,-33126.27565648553,66256.55131297106,66269.4375449471,57.6382896469708,,1.4446298560978614,330.9491152590863,0.0030216125497635,,,,,,,Gamma-Poisson estimator from incidence-frequency fit.,standard_parametric
jasper,jasper,real_world,False,unknown,,4643,4643,4643,4685.936106983655,42.93610698365501,,,,,Jackknife1,incidence_frequency,Jackknife1 (incidence-based),3,43.0,18.0,,673.0,,,,,,,,,,,,,,,,,,other
jasper,jasper,real_world,False,unknown,,4643,4643,4643,4694.1233281893,51.12332818930008,,,,,Lanumteang-Bohning,incidence_frequency,Lanumteang-Bohning (incidence-based),3,43.0,18.0,5.0,673.0,,,,,,,,,,,,,,,,,,other
jsoncpp,jsoncpp,real_world,False,unknown,,1108,1108,1108,1108.0,0.0,,,,,Chao2,incidence_frequency,Chao2 (incidence-based),3,0.0,0.0,,673.0,,,,,,,,,,,,,,,,,,other
jsoncpp,jsoncpp,real_world,False,unknown,,1108,1108,1108,1108.0,0.0,,,,,Chao2_bc,incidence_frequency,Chao2_bc (incidence-based),3,0.0,0.0,,673.0,,,,,,,,,,,,,,,,,,other
jsoncpp,jsoncpp,real_world,False,unknown,,1108,1108,1108,1108.0,0.0,,,,,Chiu,incidence_frequency,Chiu (incidence-based),3,0.0,0.0,0.0,673.0,,,,,,,,,,,,,,,,,,other
jsoncpp,jsoncpp,real_world,False,unknown,,1108,1108,1108,1108.0000000846962,8.469623935525307e-08,,,,,Gamma-Poisson,incidence_frequency,Gamma-Poisson (incidence-frequency estimator),3,0.0,0.0,,673.0,7.644067123664822e-11,0.9999999999235594,-7640.109030349861,15284.218060699724,15294.238684434336,57.95185599112786,,4.89742192747348,115.33610091942217,0.0086703121748379,,,,,,,Gamma-Poisson estimator from incidence-frequency fit.,standard_parametric
jsoncpp,jsoncpp,real_world,False,unknown,,1108,1108,1108,1108.0,0.0,,,,,Jackknife1,incidence_frequency,Jackknife1 (incidence-based),3,0.0,0.0,,673.0,,,,,,,,,,,,,,,,,,other
jsoncpp,jsoncpp,real_world,False,unknown,,1108,1108,1108,1108.0,0.0,,,,,Lanumteang-Bohning,incidence_frequency,Lanumteang-Bohning (incidence-based),3,0.0,0.0,0.0,673.0,,,,,,,,,,,,,,,,,,other
libpcap,libpcap,real_world,False,unknown,,1723,1723,1723,1723.0,0.0,,,,,Chao2,incidence_frequency,Chao2 (incidence-based),3,0.0,0.0,,673.0,,,,,,,,,,,,,,,,,,other
