subject,model,aic,bic,loglik
parsera,Exponential (incidence-frequency),13256260.69057788,13256267.900418129,-6628129.34528894
parsera,Gamma (incidence-frequency),140505.51260143582,140519.93228192968,-70250.75630071791
parsera,Gamma-Poisson (incidence-frequency),140503.97799856908,140518.39767906294,-70249.98899928454
parsera,Negative Binomial (incidence-frequency),140503.9779866725,140518.39766716634,-70249.98899333624
parsera,Poisson (incidence-frequency),2068991.1823741277,2068998.3922143744,-1034494.5911870638
parsera,Zipf-Mandelbrot (coverage-frequency),133122.07961006943,133136.49929056328,-66559.03980503471
parserb,Exponential (incidence-frequency),25865290.34253625,25865298.22080855,-12932644.171268124
parserb,Gamma (incidence-frequency),25865292.34253625,25865308.099080857,-12932644.171268124
parserb,Gamma-Poisson (incidence-frequency),255338.82057123253,255354.57711583932,-127667.41028561626
parserb,Negative Binomial (incidence-frequency),255338.82057123497,255354.57711584173,-127667.41028561749
parserb,Poisson (incidence-frequency),5121220.590097981,5121228.468370284,-2560609.2950489903
parserb,Zipf-Mandelbrot (coverage-frequency),255886.43957449857,255902.19611910533,-127941.21978724928
parserd,Exponential (incidence-frequency),11799995.353683982,11800002.447153402,-5899996.676841991
parserd,Gamma (incidence-frequency),122695.49082012562,122709.6777589661,-61345.74541006281
parserd,Gamma-Poisson (incidence-frequency),122687.77278248998,122701.95972133048,-61341.88639124499
parserd,Negative Binomial (incidence-frequency),122687.7727818777,122701.9597207182,-61341.88639093885
parserd,Poisson (incidence-frequency),1472763.7348267755,1472770.828296196,-736380.8674133879
parserd,Zipf-Mandelbrot (coverage-frequency),113268.0041672278,113282.19110606828,-56632.002083613894
parsere,Exponential (incidence-frequency),16228474.36997608,16228481.782113789,-8114236.18498804
parsere,Gamma (incidence-frequency),16228476.36997608,16228491.19425149,-8114236.18498804
parsere,Gamma-Poisson (incidence-frequency),159257.20120216836,159272.0254775789,-79626.60060108418
parsere,Negative Binomial (incidence-frequency),159257.20120216932,159272.02547757985,-79626.60060108466
parsere,Poisson (incidence-frequency),4650191.602852817,4650199.014990522,-2325094.8014264083
parsere,Zipf-Mandelbrot (coverage-frequency),166192.4001510786,166207.22442648912,-83094.2000755393
parserf,Exponential (incidence-frequency),18814737.946426995,18814745.50643784,-9407367.973213498
parserf,Gamma (incidence-frequency),18814739.946426995,18814755.066448677,-9407367.973213498
parserf,Gamma-Poisson (incidence-frequency),179564.9591063669,179580.07912805042,-89780.47955318345
parserf,Negative Binomial (incidence-frequency),179564.95910636842,179580.07912805193,-89780.47955318421
parserf,Poisson (incidence-frequency),5568782.32574748,5568789.885758322,-2784390.16287374
parserf,Zipf-Mandelbrot (coverage-frequency),193169.41346740688,193184.5334890904,-96582.70673370344
