subject,estimator_label,known_total,observed_total,estimate_total,std_dev,rel_error
parsera,Gamma-Poisson (incidence-frequency estimator),104952.0,9995,10010.962079968202,90.58962093004772,0.904613898925526
parsera,Zipf-Mandelbrot (coverage-frequency estimator),104952.0,9995,9995.0,188.72578039303173,0.9047659882613004
parsera,Chao2 (incidence-based),104952.0,9995,10028.909135935884,,0.9044428964103982
parsera,Chao2_bc (incidence-based),104952.0,9995,10028.160653789004,,0.9044500280719852
parsera,Jackknife1 (incidence-based),104952.0,9995,10076.878157503716,,0.9039858396457074
parsera,Chiu (incidence-based),104952.0,9995,9995.536247430053,,0.9047608788071684
parsera,Lanumteang-Bohning (incidence-based),104952.0,9995,10043.1588025959,,0.9043071232316116
parserb,Gamma-Poisson (incidence-frequency estimator),194852.0,19502,19568.49728500431,86.64604588228741,0.899572509981913
parserb,Zipf-Mandelbrot (coverage-frequency estimator),194852.0,19502,19502.0,170.96806726129762,0.8999137807156201
parserb,Chao2 (incidence-based),194852.0,19502,19510.235167966177,,0.8998715170079539
parserb,Chao2_bc (incidence-based),194852.0,19502,19509.94735724899,,0.8998729940814106
parserb,Jackknife1 (incidence-based),194852.0,19502,19541.94056463596,,0.8997088017334389
parserb,Chiu (incidence-based),194852.0,19502,19502.309278350516,,0.8999121934681167
parserb,Lanumteang-Bohning (incidence-based),194852.0,19502,19532.083063704085,,0.8997593914165414
parserd,Gamma-Poisson (incidence-frequency estimator),136455.0,8897,8904.811153786442,57.53488043215293,0.9347417745499508
parserd,Zipf-Mandelbrot (coverage-frequency estimator),136455.0,8897,8897.0,140.66108891772677,0.9347990179912792
parserd,Chao2 (incidence-based),136455.0,8897,8932.901631133445,,0.9345359156415416
parserd,Chao2_bc (incidence-based),136455.0,8897,8932.05894006934,,0.9345420912383616
parserd,Jackknife1 (incidence-based),136455.0,8897,8976.881129271917,,0.934213615263113
parserd,Chiu (incidence-based),136455.0,8897,8897.523348978333,,0.9347951826684378
parserd,Lanumteang-Bohning (incidence-based),136455.0,8897,8940.03167940718,,0.9344836636297154
parsere,Gamma-Poisson (incidence-frequency estimator),231510.0,12236,12307.699113403543,122.56813998538696,0.9468372894760332
parsere,Zipf-Mandelbrot (coverage-frequency estimator),231510.0,12236,12236.0,215.29788296479964,0.9471469914906484
parsere,Chao2 (incidence-based),231510.0,12236,12252.232418320771,,0.947076876081721
parsere,Chao2_bc (incidence-based),231510.0,12236,12252.139199894,,0.9470772787357176
parsere,Jackknife1 (incidence-based),231510.0,12236,12437.69985141159,,0.946275755468828
parsere,Chiu (incidence-based),231510.0,12236,12236.08047808765,,0.9471466438681369
parsere,Lanumteang-Bohning (incidence-based),231510.0,12236,12241.91705118802,,0.9471214329783249
parserf,Gamma-Poisson (incidence-frequency estimator),331301.0,14186,14330.60247851617,139.1195068438635,0.9567444635587692
parserf,Zipf-Mandelbrot (coverage-frequency estimator),331301.0,14186,14186.0,219.06597766552505,0.9571809321432776
parserf,Chao2 (incidence-based),331301.0,14186,14236.904617908573,,0.9570272814814668
parserf,Chao2_bc (incidence-based),331301.0,14186,14236.75146865774,,0.9570277437476562
parserf,Jackknife1 (incidence-based),331301.0,14186,14599.384843982169,,0.9559331700055776
parserf,Chiu (incidence-based),331301.0,14186,14186.123140987507,,0.9571805604541264
parserf,Lanumteang-Bohning (incidence-based),331301.0,14186,14197.539749226316,,0.9571461005272356
