subject,rank,observed_frequency,fitted_frequency,model,fit_input
freetype2,1.0,673.0,1105.6258312895766,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,2.0,673.0,1102.6855374425088,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,3.0,673.0,1099.7816352507182,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,4.0,673.0,1096.913327484595,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,5.0,673.0,1094.0798418318882,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,6.0,673.0,1091.2804298903966,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,7.0,673.0,1088.5143662104451,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,8.0,673.0,1085.7809473842458,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,9.0,673.0,1083.079491179442,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,10.0,673.0,1080.409335714301,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,11.0,673.0,1077.769838672204,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,12.0,673.0,1075.1603765532168,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,13.0,673.0,1072.5803439606834,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,14.0,673.0,1070.029152920907,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,15.0,673.0,1067.50623223411,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,16.0,673.0,1065.0110268549752,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,17.0,673.0,1062.5429973011776,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,18.0,673.0,1060.10161908842,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,19.0,673.0,1057.6863821905617,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,20.0,673.0,1055.2967905235362,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,21.0,673.0,1052.9323614518123,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,22.0,673.0,1050.5926253162418,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,23.0,673.0,1048.2771249821983,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,24.0,673.0,1045.985415406978,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,25.0,673.0,1043.7170632254954,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,26.0,673.0,1041.471646353355,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,27.0,673.0,1039.248753606448,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,28.0,673.0,1037.0479843362532,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,29.0,673.0,1034.8689480800822,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,30.0,673.0,1032.711264225542,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,31.0,673.0,1030.5745616885372,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,32.0,673.0,1028.458478604164,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,33.0,673.0,1026.362662029883,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,34.0,673.0,1024.2867676604048,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,35.0,673.0,1022.2304595537324,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,36.0,673.0,1020.1934098678481,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,37.0,673.0,1018.1752986075617,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
freetype2,38.0,673.0,1016.1758133810465,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
