subject,rank,observed_frequency,fitted_frequency,model,fit_input
jasper,1.0,673.0,1039.1425702593938,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,2.0,673.0,1036.340610130988,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,3.0,673.0,1033.5734317419826,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,4.0,673.0,1030.840271880452,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,5.0,673.0,1028.1403912156609,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,6.0,673.0,1025.473073331806,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,7.0,673.0,1022.8376238095535,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,8.0,673.0,1020.2333693525749,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,9.0,673.0,1017.6596569564942,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,10.0,673.0,1015.1158531178113,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,11.0,673.0,1012.6013430805368,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,12.0,673.0,1010.1155301184203,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,13.0,673.0,1007.657834850788,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,14.0,673.0,1005.2276945901332,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,15.0,673.0,1002.8245627197241,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,16.0,673.0,1000.4479080995985,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,17.0,673.0,998.0972144994179,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,18.0,673.0,995.7719800567506,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,19.0,673.0,993.471716759438,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,20.0,673.0,991.1959499507776,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,21.0,673.0,988.9442178563439,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,22.0,673.0,986.716071131323,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,23.0,673.0,984.5110724273156,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,24.0,673.0,982.3287959776202,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,25.0,673.0,980.1688272000645,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,26.0,673.0,978.0307623165111,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,27.0,673.0,975.9142079882091,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,28.0,673.0,973.8187809662138,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,29.0,673.0,971.744107756139,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,30.0,673.0,969.68982429655,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,31.0,673.0,967.6555756503383,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,32.0,673.0,965.6410157084642,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,33.0,673.0,963.6458069054783,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,34.0,673.0,961.6696199462708,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,35.0,673.0,959.7121335435243,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,36.0,673.0,957.7730341653765,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,37.0,673.0,955.8520157928233,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,38.0,673.0,953.9487796864156,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,39.0,673.0,952.0630341618356,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jasper,40.0,673.0,950.1944943739461,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
