subject,rank,observed_frequency,fitted_frequency,model,fit_input
jsoncpp,1.0,673.0,865.8595630718994,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,2.0,673.0,863.6609428591335,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,3.0,673.0,861.4892743634225,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,4.0,673.0,859.3439703005464,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,5.0,673.0,857.2244616742571,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,6.0,673.0,855.1301970390426,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,7.0,673.0,853.0606417992457,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,8.0,673.0,851.0152775424256,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,9.0,673.0,848.9936014049872,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,10.0,673.0,846.9951254682386,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,11.0,673.0,845.0193761831523,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,12.0,673.0,843.0658938222251,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,13.0,673.0,841.1342319569261,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,14.0,673.0,839.223956959328,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,15.0,673.0,837.3346475265978,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,16.0,673.0,835.4658942271128,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,17.0,673.0,833.6172990670384,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,18.0,673.0,831.7884750762815,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,19.0,673.0,829.9790459127962,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,20.0,673.0,828.1886454842813,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,21.0,673.0,826.41691758637,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,22.0,673.0,824.6635155564579,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,23.0,673.0,822.9281019423778,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,24.0,673.0,821.2103481851642,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,25.0,673.0,819.509934315203,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,26.0,673.0,817.8265486610991,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,27.0,673.0,816.1598875706323,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,28.0,673.0,814.5096551432107,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,29.0,673.0,812.8755629732591,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,30.0,673.0,811.2573299040189,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,31.0,673.0,809.6546817912564,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,32.0,673.0,808.0673512764107,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,33.0,673.0,806.4950775687361,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,34.0,673.0,804.9376062360151,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,35.0,673.0,803.394689003448,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,36.0,673.0,801.8660835603371,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,37.0,673.0,800.351553374212,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,38.0,673.0,798.8508675120557,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,39.0,673.0,797.3638004683119,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,40.0,673.0,795.8901319993686,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,41.0,673.0,794.4296469642313,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,42.0,673.0,792.9821351711106,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,43.0,673.0,791.5473912296662,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,44.0,673.0,790.1252144086598,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,45.0,673.0,788.7154084987824,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,46.0,673.0,787.3177816804364,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,47.0,673.0,785.9321463962572,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,48.0,673.0,784.5583192281762,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,49.0,673.0,783.1961207788321,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,50.0,673.0,781.8453755571513,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,51.0,673.0,780.5059118679205,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,52.0,673.0,779.1775617051901,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,53.0,673.0,777.8601606493487,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,54.0,673.0,776.5535477677219,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,55.0,673.0,775.257565518549,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,56.0,673.0,773.9720596582067,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,57.0,673.0,772.6968791515453,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,58.0,673.0,771.4318760852168,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,59.0,673.0,770.1769055838746,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,60.0,673.0,768.9318257291367,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,61.0,673.0,767.6964974811978,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,62.0,673.0,766.4707846029937,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,63.0,673.0,765.254553586818,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,64.0,673.0,764.0476735832952,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,65.0,673.0,762.850016332624,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,66.0,673.0,761.661456098002,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,67.0,673.0,760.4818696011522,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,68.0,673.0,759.3111359598722,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,69.0,673.0,758.1491366275292,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,70.0,673.0,756.9957553344319,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,71.0,673.0,755.850878031009,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,72.0,673.0,754.7143928327268,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,73.0,673.0,753.5861899666882,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,74.0,673.0,752.4661617198442,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,75.0,673.0,751.3542023887687,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,76.0,673.0,750.2502082309351,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,77.0,673.0,749.1540774174432,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,78.0,673.0,748.0657099871468,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,79.0,673.0,746.9850078021299,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,80.0,673.0,745.911874504488,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,81.0,673.0,744.8462154743656,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,82.0,673.0,743.7879377892108,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,83.0,673.0,742.7369501841996,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,84.0,673.0,741.693163013798,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,85.0,673.0,740.6564882144146,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,86.0,673.0,739.6268392681133,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,87.0,673.0,738.6041311673478,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,88.0,673.0,737.5882803806851,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,89.0,673.0,736.5792048194825,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
jsoncpp,90.0,673.0,735.5768238054914,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
