subject,rank,observed_frequency,fitted_frequency,model,fit_input
libpcap,1.0,673.0,944.8627994259513,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,2.0,673.0,941.9222881070812,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,3.0,673.0,939.0194829430285,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,4.0,673.0,936.1535413287949,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,5.0,673.0,933.3236473601364,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,6.0,673.0,930.5290107427489,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,7.0,673.0,927.7688657558264,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,8.0,673.0,925.0424702668032,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,9.0,673.0,922.3491047943039,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,10.0,673.0,919.6880716165228,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,11.0,673.0,917.0586939224423,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,12.0,673.0,914.4603150034648,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,13.0,673.0,911.8922974831927,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,14.0,673.0,909.3540225832369,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,15.0,673.0,906.8448894230688,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,16.0,673.0,904.3643143520546,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,17.0,673.0,901.9117303119344,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,18.0,673.0,899.4865862281044,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,19.0,673.0,897.0883464281762,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,20.0,673.0,894.716490086368,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,21.0,673.0,892.370510692378,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,22.0,673.0,890.049915543468,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,23.0,673.0,887.7542252585627,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,24.0,673.0,885.482973313238,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,25.0,673.0,883.2357055945439,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,26.0,673.0,881.0119799746602,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,27.0,673.0,878.8113659024492,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,28.0,673.0,876.6334440120179,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,29.0,673.0,874.4778057474566,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,30.0,673.0,872.344053002964,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,31.0,673.0,870.2317977776148,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,32.0,673.0,868.1406618440697,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,33.0,673.0,866.0702764305613,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,34.0,673.0,864.02028191553,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,35.0,673.0,861.9903275343152,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,36.0,673.0,859.9800710973431,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,37.0,673.0,857.9891787192759,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,38.0,673.0,856.0173245586229,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,39.0,673.0,854.0641905673351,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,40.0,673.0,852.1294662499321,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,41.0,673.0,850.2128484317326,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,42.0,673.0,848.3140410357854,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,43.0,673.0,846.4327548681109,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,44.0,673.0,844.568707410892,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,45.0,673.0,842.7216226232653,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,46.0,673.0,840.8912307493829,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,47.0,673.0,839.0772681334325,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,48.0,673.0,837.279477041318,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,49.0,673.0,835.4976054887164,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,50.0,673.0,833.731407075244,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,51.0,673.0,831.9806408244726,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,52.0,673.0,830.2450710295577,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,53.0,673.0,828.5244671042382,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,54.0,673.0,826.8186034389945,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,55.0,673.0,825.1272592621511,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,56.0,673.0,823.4502185057215,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,57.0,673.0,821.7872696758074,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,58.0,673.0,820.1382057273673,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,59.0,673.0,818.5028239431825,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,60.0,673.0,816.8809258168521,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,61.0,673.0,815.2723169396606,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,62.0,673.0,813.6768068911665,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,63.0,673.0,812.094209133366,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,64.0,673.0,810.5243409082952,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,65.0,673.0,808.9670231389395,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,66.0,673.0,807.4220803333207,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,67.0,673.0,805.8893404916465,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,68.0,673.0,804.3686350164024,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,69.0,673.0,802.8597986252785,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,70.0,673.0,801.3626692668244,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,71.0,673.0,799.8770880387322,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,72.0,673.0,798.4028991086498,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,73.0,673.0,796.939949637433,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,74.0,673.0,795.4880897047465,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,75.0,673.0,794.0471722369306,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,76.0,673.0,792.61705293705,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,77.0,673.0,791.197590217048,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,78.0,673.0,789.7886451319317,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,79.0,673.0,788.390081315915,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,80.0,673.0,787.001764920451,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,81.0,673.0,785.6235645540891,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,82.0,673.0,784.2553512240909,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,83.0,673.0,782.8969982797461,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,84.0,673.0,781.5483813573301,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,85.0,673.0,780.2093783266442,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,86.0,673.0,778.8798692390889,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,87.0,673.0,777.5597362772143,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,88.0,673.0,776.2488637057014,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,89.0,673.0,774.9471378237234,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,90.0,673.0,773.6544469186433,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,91.0,673.0,772.3706812210022,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,92.0,673.0,771.0957328607562,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,93.0,673.0,769.8294958247211,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,94.0,673.0,768.571865915185,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,95.0,673.0,767.3227407096521,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,96.0,673.0,766.0820195216793,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,97.0,673.0,764.849603362772,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,98.0,673.0,763.625394905305,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,99.0,673.0,762.4092984464359,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,100.0,673.0,761.2012198729773,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,101.0,673.0,760.0010666272038,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libpcap,102.0,673.0,758.8087476735562,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
