subject,rank,observed_frequency,fitted_frequency,model,fit_input
libtiff,1.0,673.0,1263.2388112945077,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,2.0,673.0,1257.2863303572467,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,3.0,673.0,1251.419563175992,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,4.0,673.0,1245.6364611433432,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,5.0,673.0,1239.9350437068795,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,6.0,673.0,1234.3133954861144,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,7.0,673.0,1228.769663537454,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,8.0,673.0,1223.3020547582564,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,9.0,673.0,1217.908833421705,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,10.0,673.0,1212.5883188347696,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,11.0,673.0,1207.3388831120549,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,12.0,673.0,1202.1589490588158,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,13.0,673.0,1197.0469881568652,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,14.0,673.0,1192.0015186475127,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,15.0,673.0,1187.0211037060542,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,16.0,673.0,1182.1043497026885,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,17.0,673.0,1177.249904545062,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,18.0,673.0,1172.4564560979509,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,19.0,673.0,1167.7227306758693,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,20.0,673.0,1163.0474916046608,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,21.0,673.0,1158.4295378483666,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,22.0,673.0,1153.8677026978999,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,23.0,673.0,1149.3608525182613,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,24.0,673.0,1144.9078855512325,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,25.0,673.0,1140.5077307706615,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,26.0,673.0,1136.1593467876357,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,27.0,673.0,1131.8617208029862,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,28.0,673.0,1127.6138676047271,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,29.0,673.0,1123.4148286081672,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,30.0,673.0,1119.2636709365584,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,31.0,673.0,1115.1594865402797,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libtiff,32.0,673.0,1111.101391352655,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
