subject,rank,observed_frequency,fitted_frequency,model,fit_input
libxml2,1.0,673.0,1349.2640004031505,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libxml2,2.0,673.0,1344.8314054497655,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libxml2,3.0,673.0,1340.4564056936347,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libxml2,4.0,673.0,1336.1377043946156,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libxml2,5.0,673.0,1331.8740461189923,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libxml2,6.0,673.0,1327.6642150452228,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libxml2,7.0,673.0,1323.5070333544118,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libxml2,8.0,673.0,1319.401359700524,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libxml2,9.0,673.0,1315.34608775569,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libxml2,10.0,673.0,1311.3401448262696,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libxml2,11.0,673.0,1307.3824905356182,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libxml2,12.0,673.0,1303.4721155697782,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libxml2,13.0,673.0,1299.6080404825523,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libxml2,14.0,673.0,1295.789314556653,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libxml2,15.0,673.0,1292.015014717831,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libxml2,16.0,673.0,1288.2842444990779,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libxml2,17.0,673.0,1284.5961330521877,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libxml2,18.0,673.0,1280.9498342041265,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libxml2,19.0,673.0,1277.3445255558197,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libxml2,20.0,673.0,1273.7794076211082,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libxml2,21.0,673.0,1270.2537030037695,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libxml2,22.0,673.0,1266.7666556106194,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libxml2,23.0,673.0,1263.3175298988306,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libxml2,24.0,673.0,1259.9056101557178,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libxml2,25.0,673.0,1256.530199809338,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
libxml2,26.0,673.0,1253.1906207683537,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
