subject,rank,observed_frequency,fitted_frequency,model,fit_input
parsera,1.0,673.0,1226.3168343961174,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,2.0,673.0,1222.6075504635337,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,3.0,673.0,1218.945511297068,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,4.0,673.0,1215.3296651449593,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,5.0,673.0,1211.7589934957427,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,6.0,673.0,1208.2325097230141,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,7.0,673.0,1204.7492577976377,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,8.0,673.0,1201.3083110634468,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,9.0,673.0,1197.908771072749,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,10.0,673.0,1194.5497664781988,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,11.0,673.0,1191.23045197782,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,12.0,673.0,1187.9500073101826,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,13.0,673.0,1184.7076362969167,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,14.0,673.0,1181.5025659299445,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,15.0,673.0,1178.334045500964,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,16.0,673.0,1175.2013457708863,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,17.0,673.0,1172.103758177058,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,18.0,673.0,1169.0405940762514,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,19.0,673.0,1166.0111840215156,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,20.0,673.0,1163.0148770711046,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,21.0,673.0,1160.051040127808,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,22.0,673.0,1157.1190573071026,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,23.0,673.0,1154.2183293326495,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,24.0,673.0,1151.348272957737,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,25.0,673.0,1148.508320411356,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,26.0,673.0,1145.6979188676753,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,27.0,673.0,1142.91652993775,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,28.0,673.0,1140.1636291823602,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,29.0,673.0,1137.4387056449505,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,30.0,673.0,1134.7412614036891,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,31.0,673.0,1132.0708111417216,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,32.0,673.0,1129.4268817347531,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,33.0,673.0,1126.8090118551283,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,34.0,673.0,1124.2167515916365,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,35.0,673.0,1121.6496620843016,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,36.0,673.0,1119.107315173461,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,37.0,673.0,1116.5892930624755,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,38.0,673.0,1114.0951879934416,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,39.0,673.0,1111.6246019353214,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,40.0,673.0,1109.1771462839201,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,41.0,673.0,1106.75244157319,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,42.0,673.0,1104.3501171973471,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,43.0,673.0,1101.9698111433306,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,44.0,673.0,1099.611169733143,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,45.0,673.0,1097.273847375649,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,46.0,673.0,1094.9575063274133,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,47.0,673.0,1092.661816462199,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,48.0,673.0,1090.3864550487488,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,49.0,673.0,1088.1311065365003,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,50.0,673.0,1085.895462348902,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,51.0,673.0,1083.6792206840107,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,52.0,673.0,1081.482086322068,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,53.0,673.0,1079.3037704397645,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,54.0,673.0,1077.1439904309238,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,55.0,673.0,1075.0024697333376,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,56.0,673.0,1072.8789376615052,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,57.0,673.0,1070.7731292450426,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,58.0,673.0,1068.6847850725292,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,59.0,673.0,1066.6136511405784,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,60.0,673.0,1064.5594787079285,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsera,61.0,673.0,1062.5220241543504,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
