subject,rank,observed_frequency,fitted_frequency,model,fit_input
parserb,1.0,673.0,1506.1487000999698,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,2.0,673.0,1499.6711827821784,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,3.0,673.0,1493.284313749215,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,4.0,673.0,1486.9859626726334,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,5.0,673.0,1480.7740691547544,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,6.0,673.0,1474.6466397933089,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,7.0,673.0,1468.6017453956435,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,8.0,673.0,1462.6375183335554,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,9.0,673.0,1456.7521500304226,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,10.0,673.0,1450.9438885728728,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,11.0,673.0,1445.2110364397472,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,12.0,673.0,1439.551948341601,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,13.0,673.0,1433.9650291644245,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,14.0,673.0,1428.4487320116923,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,15.0,673.0,1423.0015563392128,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,16.0,673.0,1417.6220461776256,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,17.0,673.0,1412.308788437702,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,18.0,673.0,1407.0604112939318,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,19.0,673.0,1401.8755826421402,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,20.0,673.0,1396.7530086271627,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,21.0,673.0,1391.6914322368366,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,22.0,673.0,1386.689631958804,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,23.0,673.0,1381.7464204968312,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,24.0,673.0,1376.8606435435463,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,25.0,673.0,1372.0311786066854,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,26.0,673.0,1367.256933886103,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,27.0,673.0,1362.5368471989743,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,28.0,673.0,1357.8698849507532,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,29.0,673.0,1353.255041149602,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,30.0,673.0,1348.6913364621348,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,31.0,673.0,1344.1778173084397,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,32.0,673.0,1339.7135549944583,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,33.0,673.0,1335.2976448799134,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,34.0,673.0,1330.929205580073,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,35.0,673.0,1326.6073781997297,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,36.0,673.0,1322.331325597875,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,37.0,673.0,1318.100231681615,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,38.0,673.0,1313.9133007279663,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,39.0,673.0,1309.7697567322366,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,40.0,673.0,1305.6688427817637,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,41.0,673.0,1301.6098204538553,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,42.0,673.0,1297.5919692368275,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,43.0,673.0,1293.6145859731034,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,44.0,673.0,1289.6769843233803,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,45.0,673.0,1285.77849425093,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,46.0,673.0,1281.9184615251438,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,47.0,673.0,1278.0962472434758,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,48.0,673.0,1274.311227370982,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,49.0,673.0,1270.5627922966985,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,50.0,673.0,1266.8503464061284,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,51.0,673.0,1263.1733076691528,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,52.0,673.0,1259.531107242712,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,53.0,673.0,1255.9231890876317,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,54.0,673.0,1252.3490095990044,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,55.0,673.0,1248.8080372495615,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,56.0,673.0,1245.299752245495,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,57.0,673.0,1241.8236461942263,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,58.0,673.0,1238.379221783624,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,59.0,673.0,1234.965992472214,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,60.0,673.0,1231.5834821899366,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,61.0,673.0,1228.231225049025,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,62.0,673.0,1224.908765064608,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,63.0,673.0,1221.6156558846483,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,64.0,673.0,1218.351460528849,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,65.0,673.0,1215.1157511361807,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,66.0,673.0,1211.9081087206923,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,67.0,673.0,1208.7281229352845,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,68.0,673.0,1205.5753918431444,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,69.0,673.0,1202.4495216965452,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,70.0,673.0,1199.350126722731,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,71.0,673.0,1196.2768289166245,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,72.0,673.0,1193.2292578400975,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,73.0,673.0,1190.2070504275591,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,74.0,673.0,1187.2098507976311,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,75.0,673.0,1184.237310070684,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,76.0,673.0,1181.2890861920187,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,77.0,673.0,1178.3648437604888,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,78.0,673.0,1175.4642538623668,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,79.0,673.0,1172.586993910265,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,80.0,673.0,1169.732747486929,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,81.0,673.0,1166.9012041937333,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,82.0,673.0,1164.0920595037069,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,83.0,673.0,1161.3050146189362,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,84.0,673.0,1158.5397763321869,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,85.0,673.0,1155.7960568925976,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,86.0,673.0,1153.0735738753096,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,87.0,673.0,1150.3720500548895,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,88.0,673.0,1147.6912132824186,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,89.0,673.0,1145.0307963661285,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,90.0,673.0,1142.3905369554495,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,91.0,673.0,1139.7701774283735,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,92.0,673.0,1137.1694647820045,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,93.0,673.0,1134.5881505262014,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,94.0,673.0,1132.0259905802056,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,95.0,673.0,1129.4827451721528,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,96.0,673.0,1126.9581787413797,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,97.0,673.0,1124.4520598434292,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,98.0,673.0,1121.9641610576682,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,99.0,673.0,1119.4942588974347,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,100.0,673.0,1117.0421337226287,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,101.0,673.0,1114.6075696546732,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,102.0,673.0,1112.1903544937668,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,103.0,673.0,1109.7902796383555,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,104.0,673.0,1107.4071400067542,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,105.0,673.0,1105.0407339608498,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,106.0,673.0,1102.6908632318211,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,107.0,673.0,1100.3573328478135,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,108.0,673.0,1098.0399510635043,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,109.0,673.0,1095.738529291506,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,110.0,673.0,1093.4528820355467,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,111.0,673.0,1091.182826825374,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,112.0,673.0,1088.9281841533327,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,113.0,673.0,1086.688777412562,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,114.0,673.0,1084.4644328367658,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,115.0,673.0,1082.2549794415086,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,116.0,673.0,1080.0602489669893,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,117.0,673.0,1077.8800758222544,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,118.0,673.0,1075.7142970308005,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,119.0,673.0,1073.5627521775314,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,120.0,673.0,1071.4252833570272,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,121.0,673.0,1069.301735123089,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,122.0,673.0,1067.1919544395184,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,123.0,673.0,1065.0957906321025,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserb,124.0,673.0,1063.0130953417606,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
