subject,rank,observed_frequency,fitted_frequency,model,fit_input
parserd,1.0,673.0,1165.4028056072493,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,2.0,673.0,1161.503615298375,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,3.0,673.0,1157.6553221825452,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,4.0,673.0,1153.8567773280795,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,5.0,673.0,1150.106868468076,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,6.0,673.0,1146.4045184944448,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,7.0,673.0,1142.7486840273389,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,8.0,673.0,1139.1383540555391,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,9.0,673.0,1135.5725486436527,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,10.0,673.0,1132.050317702266,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,11.0,673.0,1128.5707398174418,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,12.0,673.0,1125.1329211361926,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,13.0,673.0,1121.7359943047804,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,14.0,673.0,1118.3791174568962,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,15.0,673.0,1115.06147324896,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,16.0,673.0,1111.782267939961,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,17.0,673.0,1108.5407305134147,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,18.0,673.0,1105.3361118391697,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,19.0,673.0,1102.1676838729338,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,20.0,673.0,1099.0347388915209,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,21.0,673.0,1095.936588761944,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,22.0,673.0,1092.8725642425868,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,23.0,673.0,1089.8420143147987,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,24.0,673.0,1086.844305543354,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,25.0,673.0,1083.8788214643037,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,26.0,673.0,1080.944961998842,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,27.0,673.0,1078.0421428918826,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,28.0,673.0,1075.1697951741198,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,29.0,673.0,1072.3273646464147,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,30.0,673.0,1069.5143113854167,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,31.0,673.0,1066.73010926939,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,32.0,673.0,1063.9742455232708,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,33.0,673.0,1061.2462202820382,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,34.0,673.0,1058.545546171527,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,35.0,673.0,1055.8717479058641,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,36.0,673.0,1053.2243619007527,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,37.0,673.0,1050.602935901863,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,38.0,673.0,1048.0070286276414,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,39.0,673.0,1045.4362094258727,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,40.0,673.0,1042.8900579433755,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,41.0,673.0,1040.368163808236,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,42.0,673.0,1037.8701263240207,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,43.0,673.0,1035.3955541754335,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,44.0,673.0,1032.944065144915,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,45.0,673.0,1030.5152858397028,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,46.0,673.0,1028.1088514288977,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,47.0,673.0,1025.7244053901024,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,48.0,673.0,1023.3615992652249,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,49.0,673.0,1021.0200924250497,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,50.0,673.0,1018.6995518422143,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,51.0,673.0,1016.3996518722263,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,52.0,673.0,1014.1200740421962,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,53.0,673.0,1011.8605068469559,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,54.0,673.0,1009.6206455522655,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,55.0,673.0,1007.4001920048127,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,56.0,673.0,1005.1988544487305,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,57.0,673.0,1003.0163473483705,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,58.0,673.0,1000.852391217076,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,59.0,673.0,998.7067124517216,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,60.0,673.0,996.5790431727828,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,61.0,673.0,994.469121069725,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,62.0,673.0,992.376689251496,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,63.0,673.0,990.3014961019304,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,64.0,673.0,988.2432951398674,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,65.0,673.0,986.2018448838097,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,66.0,673.0,984.1769087209412,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,67.0,673.0,982.1682547803443,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,68.0,673.0,980.1756558102524,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,69.0,673.0,978.1988890591907,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,70.0,673.0,976.2377361608587,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,71.0,673.0,974.2919830226115,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,72.0,673.0,972.361419717413,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,73.0,673.0,970.4458403791307,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,74.0,673.0,968.5450431010474,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,75.0,673.0,966.6588298374794,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,76.0,673.0,964.7870063083818,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,77.0,673.0,962.9293819068413,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,78.0,673.0,961.0857696093449,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,79.0,673.0,959.2559858887341,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,80.0,673.0,957.439850629746,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,81.0,673.0,955.6371870470483,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,82.0,673.0,953.8478216056859,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,83.0,673.0,952.0715839438534,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,84.0,673.0,950.3083067979114,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,85.0,673.0,948.5578259295721,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,86.0,673.0,946.8199800551791,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,87.0,673.0,945.0946107770106,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,88.0,673.0,943.3815625165365,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,89.0,673.0,941.6806824495657,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,90.0,673.0,939.9918204432187,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,91.0,673.0,938.3148289946653,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,92.0,673.0,936.6495631715703,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,93.0,673.0,934.9958805541881,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,94.0,673.0,933.3536411790552,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,95.0,673.0,931.7227074842275,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,96.0,673.0,930.102944256011,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,97.0,673.0,928.49421857714,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,98.0,673.0,926.896399776355,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,99.0,673.0,925.3093593793357,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,100.0,673.0,923.7329710609467,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,101.0,673.0,922.1671105987537,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,102.0,673.0,920.6116558277702,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,103.0,673.0,919.0664865963984,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,104.0,673.0,917.5314847235227,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,105.0,673.0,916.0065339567246,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,106.0,673.0,914.4915199315822,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,107.0,673.0,912.9863301320203,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,108.0,673.0,911.4908538516823,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,109.0,673.0,910.0049821562882,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,110.0,673.0,908.5286078469525,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,111.0,673.0,907.0616254244322,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,112.0,673.0,905.6039310542768,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,113.0,673.0,904.1554225328522,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,114.0,673.0,902.715999254215,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,115.0,673.0,901.2855621778108,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,116.0,673.0,899.864013796971,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,117.0,673.0,898.4512581081883,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,118.0,673.0,897.0472005811439,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,119.0,673.0,895.6517481294674,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,120.0,673.0,894.2648090822078,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,121.0,673.0,892.8862931559951,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,122.0,673.0,891.5161114278715,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,123.0,673.0,890.1541763087748,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,124.0,673.0,888.800401517656,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,125.0,673.0,887.4547020562095,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,126.0,673.0,886.116994184204,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,127.0,673.0,884.7871953953927,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,128.0,673.0,883.4652243939895,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,129.0,673.0,882.1510010716943,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,130.0,673.0,880.8444464852525,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,131.0,673.0,879.545482834534,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,132.0,673.0,878.2540334411173,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,133.0,673.0,876.9700227273657,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,134.0,673.0,875.693376195981,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,135.0,673.0,874.424020410023,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,136.0,673.0,873.1618829733815,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,137.0,673.0,871.9068925116889,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,138.0,673.0,870.658978653662,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,139.0,673.0,869.4180720128608,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,140.0,673.0,868.1841041698539,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,141.0,673.0,866.95700765478,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,142.0,673.0,865.7367159302944,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,143.0,673.0,864.5231633748904,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,144.0,673.0,863.316285266587,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,145.0,673.0,862.1160177669725,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,146.0,673.0,860.9222979055938,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,147.0,673.0,859.7350635646862,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,148.0,673.0,858.5542534642291,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,149.0,673.0,857.3798071473254,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,150.0,673.0,856.2116649658919,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,151.0,673.0,855.0497680666565,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,152.0,673.0,853.8940583774495,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,153.0,673.0,852.7444785937878,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,154.0,673.0,851.6009721657392,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,155.0,673.0,850.4634832850642,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,156.0,673.0,849.3319568726237,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserd,157.0,673.0,848.2063385660513,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
