subject,rank,observed_frequency,fitted_frequency,model,fit_input
parsere,1.0,673.0,1432.6356054179344,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,2.0,673.0,1426.2356273173673,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,3.0,673.0,1419.926262855738,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,4.0,673.0,1413.705367860274,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,5.0,673.0,1407.5708688853395,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,6.0,673.0,1401.5207602325338,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,7.0,673.0,1395.5531011230821,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,8.0,673.0,1389.6660130133994,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,9.0,673.0,1383.8576770453242,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,10.0,673.0,1378.1263316231036,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,11.0,673.0,1372.470270109738,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,12.0,673.0,1366.8878386357937,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,13.0,673.0,1361.3774340142372,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,14.0,673.0,1355.9375017552825,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,15.0,673.0,1350.5665341756155,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,16.0,673.0,1345.2630685967408,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,17.0,673.0,1340.0256856275141,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,18.0,673.0,1334.8530075262508,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,19.0,673.0,1329.7436966380833,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,20.0,673.0,1324.6964539035062,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,21.0,673.0,1319.71001743431,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,22.0,673.0,1314.7831611533252,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,23.0,673.0,1309.9146934946216,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,24.0,673.0,1305.1034561610118,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,25.0,673.0,1300.3483229358887,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,26.0,673.0,1295.6481985466125,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,27.0,673.0,1291.0020175768175,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,28.0,673.0,1286.4087434251699,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,29.0,673.0,1281.8673673082444,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,30.0,673.0,1277.3769073053284,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,31.0,673.0,1272.9364074430785,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,32.0,673.0,1268.5449368180819,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,33.0,673.0,1264.2015887554749,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,34.0,673.0,1259.9054800018814,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,35.0,673.0,1255.6557499510252,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,36.0,673.0,1251.4515599004635,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,37.0,673.0,1247.2920923379706,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,38.0,673.0,1243.176550256186,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,39.0,673.0,1239.1041564942066,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,40.0,673.0,1235.074153104883,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,41.0,673.0,1231.0858007466388,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,42.0,673.0,1227.1383780986957,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,43.0,673.0,1223.231181298647,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,44.0,673.0,1219.363523401376,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,45.0,673.0,1215.5347338583651,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,46.0,673.0,1211.7441580164977,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,47.0,673.0,1207.9911566354872,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,48.0,673.0,1204.2751054231271,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,49.0,673.0,1200.5953945875856,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,50.0,673.0,1196.951428406008,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,51.0,673.0,1193.3426248087335,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,52.0,673.0,1189.7684149784545,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,53.0,673.0,1186.2282429636975,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,54.0,673.0,1182.7215653060132,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,55.0,673.0,1179.2478506803125,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,56.0,673.0,1175.8065795477974,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,57.0,673.0,1172.3972438209732,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,58.0,673.0,1169.019346540245,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,59.0,673.0,1165.6724015616235,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,60.0,673.0,1162.3559332551029,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,61.0,673.0,1159.0694762132666,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,62.0,673.0,1155.812574969728,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,63.0,673.0,1152.5847837270026,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,64.0,673.0,1149.38566609345,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,65.0,673.0,1146.2147948289255,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,66.0,673.0,1143.071751598802,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,67.0,673.0,1139.9561267360398,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,68.0,673.0,1136.8675190109939,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parsere,69.0,673.0,1133.8055354086628,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
