subject,rank,observed_frequency,fitted_frequency,model,fit_input
parserf,1.0,673.0,1478.0729657644579,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,2.0,673.0,1471.3749086762477,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,3.0,673.0,1464.7721102301145,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,4.0,673.0,1458.2623103868941,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,5.0,673.0,1451.8433237957113,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,6.0,673.0,1445.5130366426488,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,7.0,673.0,1439.2694036606604,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,8.0,673.0,1433.1104452910595,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,9.0,673.0,1427.034244987577,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,10.0,673.0,1421.03894665459,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,11.0,673.0,1415.1227522116983,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,12.0,673.0,1409.2839192773354,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,13.0,673.0,1403.520758964597,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,14.0,673.0,1397.83163378291,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,15.0,673.0,1392.2149556395789,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,16.0,673.0,1386.6691839356376,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,17.0,673.0,1381.1928237507857,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,18.0,673.0,1375.7844241125163,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,19.0,673.0,1370.4425763448596,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,20.0,673.0,1365.1659124924429,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,21.0,673.0,1359.9531038158348,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,22.0,673.0,1354.8028593543925,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,23.0,673.0,1349.7139245530602,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,24.0,673.0,1344.6850799497715,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,25.0,673.0,1339.7151399203267,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,26.0,673.0,1334.802951477783,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,27.0,673.0,1329.9473931235832,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,28.0,673.0,1325.1473737478043,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,29.0,673.0,1320.4018315760588,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,30.0,673.0,1315.7097331607304,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,31.0,673.0,1311.0700724143444,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,32.0,673.0,1306.4818696830168,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,33.0,673.0,1301.9441708580223,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,34.0,673.0,1297.4560465236423,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,35.0,673.0,1293.016591139556,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,36.0,673.0,1288.6249222561264,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,37.0,673.0,1284.2801797610275,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,38.0,673.0,1279.981525155745,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
parserf,39.0,673.0,1275.7281408605554,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
