subject,rank,observed_frequency,fitted_frequency,model,fit_input
zlib,1.0,673.0,706.0178585511146,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,2.0,673.0,705.609719692149,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,3.0,673.0,705.205795237286,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,4.0,673.0,704.8060013807511,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,5.0,673.0,704.4102567691307,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,6.0,673.0,704.0184824070496,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,7.0,673.0,703.6306015673285,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,8.0,673.0,703.2465397053679,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,9.0,673.0,702.8662243775227,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,10.0,673.0,702.4895851632482,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,11.0,673.0,702.1165535908065,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,12.0,673.0,701.7470630663465,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,13.0,673.0,701.3810488061697,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,14.0,673.0,701.0184477720145,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,15.0,673.0,700.6591986092001,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,16.0,673.0,700.303241587478,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,17.0,673.0,699.9505185444524,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,18.0,673.0,699.600972831434,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,19.0,673.0,699.254549261607,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,20.0,673.0,698.9111940603889,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,21.0,673.0,698.5708548178734,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,22.0,673.0,698.2334804432535,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,23.0,673.0,697.8990211211258,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,24.0,673.0,697.5674282695853,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,25.0,673.0,697.2386545000215,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,26.0,673.0,696.9126535785349,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,27.0,673.0,696.5893803888965,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,28.0,673.0,696.2687908969764,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,29.0,673.0,695.9508421165726,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,30.0,673.0,695.6354920765741,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,31.0,673.0,695.3226997893972,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,32.0,673.0,695.0124252206344,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,33.0,673.0,694.7046292598645,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,34.0,673.0,694.3992736925653,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,35.0,673.0,694.096321173085,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,36.0,673.0,693.7957351986215,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,37.0,673.0,693.4974800841659,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
zlib,38.0,673.0,693.2015209383674,Zipf-Mandelbrot (coverage-frequency),incidence_sum_axis1
