subject,estimator,estimator_input,estimator_label,estimate_total,known_total,signed_error,abs_error,rel_error
parsera,Exponential,hit_count,Exponential (hit-count estimator),9995.000611756026,104952,-94956.99938824397,94956.99938824397,0.9047659824323879
parsera,Gamma,hit_count,Gamma (hit-count estimator),10822.392170479987,104952,-94129.60782952001,94129.60782952001,0.8968824589290344
parsera,Negative Binomial,hit_count,Negative Binomial (hit-count estimator),10792.494763623548,104952,-94159.50523637646,94159.50523637646,0.8971673263623033
parsera,Poisson,hit_count,Poisson (hit-count estimator),9995.0,104952,-94957.0,94957.0,0.9047659882613004
parsera,Beta-Binomial,incidence_frequency,Beta-Binomial (incidence-based),10038.90695153882,104952,-94913.09304846117,94913.09304846117,0.9043476355711294
parsera,Chao1,incidence_frequency,Chao1 (incidence-based),10028.959595959595,104952,-94923.04040404041,94923.04040404041,0.9044424156189536
parsera,Chao2,incidence_frequency,Chao2 (incidence-based),10028.909135935883,104952,-94923.09086406411,94923.09086406411,0.9044428964103982
parsera,Chao2_bc,incidence_frequency,Chao2_bc (incidence-based),10028.160653789004,104952,-94923.839346211,94923.839346211,0.9044500280719853
parsera,Chiu,incidence_frequency,Chiu (incidence-based),9995.536247430053,104952,-94956.46375256995,94956.46375256995,0.9047608788071685
parsera,Exponential,incidence_frequency,Exponential (incidence-frequency estimator),9995000000000000.0,104952,9994999999895048.0,9994999999895048.0,95234011737.6996
parsera,Gamma,incidence_frequency,Gamma (incidence-frequency estimator),10010.656001246783,104952,-94941.34399875322,94941.34399875322,0.9046168152941652
parsera,Gamma-Poisson,incidence_frequency,Gamma-Poisson (incidence-frequency estimator),10010.962079968202,104952,-94941.0379200318,94941.0379200318,0.9046138989255259
parsera,Jackknife1,incidence_frequency,Jackknife1 (incidence-based),10076.878157503716,104952,-94875.12184249629,94875.12184249629,0.9039858396457074
parsera,Lanumteang-Bohning,incidence_frequency,Lanumteang-Bohning (incidence-based),10043.1588025959,104952,-94908.8411974041,94908.8411974041,0.9043071232316116
parsera,Negative Binomial,incidence_frequency,Negative Binomial (incidence-frequency estimator),10010.965168451768,104952,-94941.03483154823,94941.03483154823,0.9046138694979441
parsera,Poisson,incidence_frequency,Poisson (incidence-frequency estimator),9995.0,104952,-94957.0,94957.0,0.9047659882613004
parsera,ztNB,incidence_frequency,ztNB (incidence-frequency estimator),10010.965168451768,104952,-94941.03483154823,94941.03483154823,0.9046138694979441
parsera,ztPoisson,incidence_frequency,ztPoisson (incidence-frequency estimator),9995.0,104952,-94957.0,94957.0,0.9047659882613004
parsera,Zipf-Mandelbrot,incidence_sum_axis1,Zipf-Mandelbrot (coverage-frequency estimator),9995.0,104952,-94957.0,94957.0,0.9047659882613004
