subject,estimator,estimator_input,estimator_label,estimate_total,known_total,signed_error,abs_error,rel_error
parsera,Exponential,hit_count,Exponential (hit-count estimator),9995.000611756026,104952,-94956.99938824397,94956.99938824397,0.9047659824323879
parsera,Gamma,hit_count,Gamma (hit-count estimator),10822.392170479987,104952,-94129.60782952001,94129.60782952001,0.8968824589290344
parsera,Negative Binomial,hit_count,Negative Binomial (hit-count estimator),10792.494763623548,104952,-94159.50523637646,94159.50523637646,0.8971673263623033
parsera,Poisson,hit_count,Poisson (hit-count estimator),9995.0,104952,-94957.0,94957.0,0.9047659882613004
parserb,Exponential,hit_count,Exponential (hit-count estimator),19502.002011549528,194852,-175349.99798845046,175349.99798845046,0.8999137703921462
parserb,Gamma,hit_count,Gamma (hit-count estimator),21162.67486854141,194852,-173689.32513145858,173689.32513145858,0.891391030789823
parserb,Negative Binomial,hit_count,Negative Binomial (hit-count estimator),21132.106629416507,194852,-173719.89337058348,173719.89337058348,0.8915479100578053
parserb,Poisson,hit_count,Poisson (hit-count estimator),19502.0,194852,-175350.0,175350.0,0.8999137807156201
parserd,Exponential,hit_count,Exponential (hit-count estimator),8897.000432844052,136455,-127557.99956715594,127557.99956715594,0.9347990148192147
parserd,Gamma,hit_count,Gamma (hit-count estimator),9399.670896959602,136455,-127055.32910304039,127055.32910304039,0.9311152328829313
parserd,Negative Binomial,hit_count,Negative Binomial (hit-count estimator),9326.788157365592,136455,-127128.21184263441,127128.21184263441,0.9316493484491913
parserd,Poisson,hit_count,Poisson (hit-count estimator),8897.0,136455,-127558.0,127558.0,0.9347990179912792
parsere,Exponential,hit_count,Exponential (hit-count estimator),12236.000504124448,231510,-219273.99949587556,219273.99949587556,0.947146989313099
parsere,Gamma,hit_count,Gamma (hit-count estimator),13600.112007336884,231510,-217909.8879926631,217909.8879926631,0.9412547535426682
parsere,Negative Binomial,hit_count,Negative Binomial (hit-count estimator),13570.692406616476,231510,-217939.30759338354,217939.30759338354,0.9413818305618916
parsere,Poisson,hit_count,Poisson (hit-count estimator),12236.0,231510,-219274.0,219274.0,0.9471469914906484
parserf,Exponential,hit_count,Exponential (hit-count estimator),14186.001041061078,331301,-317114.99895893893,317114.99895893893,0.9571809290009355
parserf,Gamma,hit_count,Gamma (hit-count estimator),16071.265282141363,331301,-315229.73471785866,315229.73471785866,0.9514904413746371
parserf,Negative Binomial,hit_count,Negative Binomial (hit-count estimator),16897.74770312967,331301,-314403.25229687034,314403.25229687034,0.948995784186798
parserf,Poisson,hit_count,Poisson (hit-count estimator),14186.0,331301,-317115.0,317115.0,0.9571809321432776
