subject,estimator,estimator_input,estimator_label,estimate_total,known_total,signed_error,abs_error,rel_error
parsera,Beta-Binomial,incidence_frequency,Beta-Binomial (incidence-based),10038.90695153882,104952,-94913.09304846117,94913.09304846117,0.9043476355711294
parsera,Chao1,incidence_frequency,Chao1 (incidence-based),10028.959595959595,104952,-94923.04040404041,94923.04040404041,0.9044424156189536
parsera,Chao2,incidence_frequency,Chao2 (incidence-based),10028.909135935883,104952,-94923.09086406411,94923.09086406411,0.9044428964103982
parsera,Chao2_bc,incidence_frequency,Chao2_bc (incidence-based),10028.160653789004,104952,-94923.839346211,94923.839346211,0.9044500280719853
parsera,Chiu,incidence_frequency,Chiu (incidence-based),9995.536247430053,104952,-94956.46375256995,94956.46375256995,0.9047608788071685
parsera,Jackknife1,incidence_frequency,Jackknife1 (incidence-based),10076.878157503716,104952,-94875.12184249629,94875.12184249629,0.9039858396457074
parsera,Lanumteang-Bohning,incidence_frequency,Lanumteang-Bohning (incidence-based),10043.1588025959,104952,-94908.8411974041,94908.8411974041,0.9043071232316116
parserb,Beta-Binomial,incidence_frequency,Beta-Binomial (incidence-based),19514.352751949267,194852,-175337.64724805072,175337.64724805072,0.8998503851541206
parserb,Chao1,incidence_frequency,Chao1 (incidence-based),19510.24742268041,194852,-175341.7525773196,175341.7525773196,0.8998714541155318
parserb,Chao2,incidence_frequency,Chao2 (incidence-based),19510.235167966177,194852,-175341.76483203383,175341.76483203383,0.8998715170079539
parserb,Chao2_bc,incidence_frequency,Chao2_bc (incidence-based),19509.94735724899,194852,-175342.05264275102,175342.05264275102,0.8998729940814106
parserb,Chiu,incidence_frequency,Chiu (incidence-based),19502.309278350516,194852,-175349.69072164947,175349.69072164947,0.8999121934681167
parserb,Jackknife1,incidence_frequency,Jackknife1 (incidence-based),19541.94056463596,194852,-175310.05943536403,175310.05943536403,0.8997088017334389
parserb,Lanumteang-Bohning,incidence_frequency,Lanumteang-Bohning (incidence-based),19532.083063704085,194852,-175319.91693629592,175319.91693629592,0.8997593914165414
parserd,Beta-Binomial,incidence_frequency,Beta-Binomial (incidence-based),8938.805707392627,136455,-127516.19429260737,127516.19429260737,0.9344926480715794
parserd,Chao1,incidence_frequency,Chao1 (incidence-based),8932.955056179775,136455,-127522.04494382022,127522.04494382022,0.9345355241201877
parserd,Chao2,incidence_frequency,Chao2 (incidence-based),8932.901631133445,136455,-127522.09836886656,127522.09836886656,0.9345359156415416
parserd,Chao2_bc,incidence_frequency,Chao2_bc (incidence-based),8932.05894006934,136455,-127522.94105993066,127522.94105993066,0.9345420912383617
parserd,Chiu,incidence_frequency,Chiu (incidence-based),8897.523348978333,136455,-127557.47665102167,127557.47665102167,0.9347951826684378
parserd,Jackknife1,incidence_frequency,Jackknife1 (incidence-based),8976.881129271917,136455,-127478.11887072808,127478.11887072808,0.934213615263113
parserd,Lanumteang-Bohning,incidence_frequency,Lanumteang-Bohning (incidence-based),8940.03167940718,136455,-127514.96832059282,127514.96832059282,0.9344836636297154
parsere,Beta-Binomial,incidence_frequency,Beta-Binomial (incidence-based),12252.232418320773,231510,-219257.76758167922,219257.76758167922,0.947076876081721
parsere,Chao1,incidence_frequency,Chao1 (incidence-based),12252.25657370518,231510,-219257.74342629482,219257.74342629482,0.9470767717433148
parsere,Chao2,incidence_frequency,Chao2 (incidence-based),12252.232418320773,231510,-219257.76758167922,219257.76758167922,0.947076876081721
parsere,Chao2_bc,incidence_frequency,Chao2_bc (incidence-based),12252.139199894,231510,-219257.860800106,219257.860800106,0.9470772787357177
parsere,Chiu,incidence_frequency,Chiu (incidence-based),12236.08047808765,231510,-219273.91952191235,219273.91952191235,0.9471466438681369
parsere,Jackknife1,incidence_frequency,Jackknife1 (incidence-based),12437.69985141159,231510,-219072.3001485884,219072.3001485884,0.9462757554688281
parsere,Lanumteang-Bohning,incidence_frequency,Lanumteang-Bohning (incidence-based),12241.91705118802,231510,-219268.082948812,219268.082948812,0.9471214329783249
parserf,Beta-Binomial,incidence_frequency,Beta-Binomial (incidence-based),14236.904617908573,331301,-317064.0953820914,317064.0953820914,0.9570272814814668
parserf,Chao1,incidence_frequency,Chao1 (incidence-based),14236.980368828079,331301,-317064.01963117195,317064.01963117195,0.9570270528346487
parserf,Chao2,incidence_frequency,Chao2 (incidence-based),14236.904617908573,331301,-317064.0953820914,317064.0953820914,0.9570272814814668
parserf,Chao2_bc,incidence_frequency,Chao2_bc (incidence-based),14236.75146865774,331301,-317064.24853134225,317064.24853134225,0.9570277437476562
parserf,Chiu,incidence_frequency,Chiu (incidence-based),14186.123140987507,331301,-317114.87685901247,317114.87685901247,0.9571805604541263
parserf,Jackknife1,incidence_frequency,Jackknife1 (incidence-based),14599.384843982169,331301,-316701.6151560178,316701.6151560178,0.9559331700055775
parserf,Lanumteang-Bohning,incidence_frequency,Lanumteang-Bohning (incidence-based),14197.539749226316,331301,-317103.4602507737,317103.4602507737,0.9571461005272357
