subject,estimator,estimator_input,estimator_label,estimate_total,known_total,signed_error,abs_error,rel_error
parsera,Exponential,hit_count,Exponential (hit-count estimator),9995.000611756026,104952,-94956.99938824397,94956.99938824397,0.9047659824323879
parsera,Gamma,hit_count,Gamma (hit-count estimator),10822.392170479987,104952,-94129.60782952001,94129.60782952001,0.8968824589290344
parsera,Negative Binomial,hit_count,Negative Binomial (hit-count estimator),10792.494763623548,104952,-94159.50523637646,94159.50523637646,0.8971673263623033
parsera,Poisson,hit_count,Poisson (hit-count estimator),9995.0,104952,-94957.0,94957.0,0.9047659882613004
parsera,Exponential,incidence_frequency,Exponential (incidence-frequency estimator),9995000000000000.0,104952,9994999999895048.0,9994999999895048.0,95234011737.6996
parsera,Gamma,incidence_frequency,Gamma (incidence-frequency estimator),10010.656001246783,104952,-94941.34399875322,94941.34399875322,0.9046168152941652
parsera,Gamma-Poisson,incidence_frequency,Gamma-Poisson (incidence-frequency estimator),10010.962079968202,104952,-94941.0379200318,94941.0379200318,0.9046138989255259
parsera,Negative Binomial,incidence_frequency,Negative Binomial (incidence-frequency estimator),10010.965168451768,104952,-94941.03483154823,94941.03483154823,0.9046138694979441
parsera,Poisson,incidence_frequency,Poisson (incidence-frequency estimator),9995.0,104952,-94957.0,94957.0,0.9047659882613004
parserb,Exponential,hit_count,Exponential (hit-count estimator),19502.002011549528,194852,-175349.99798845046,175349.99798845046,0.8999137703921462
parserb,Gamma,hit_count,Gamma (hit-count estimator),21162.67486854141,194852,-173689.32513145858,173689.32513145858,0.891391030789823
parserb,Negative Binomial,hit_count,Negative Binomial (hit-count estimator),21132.106629416507,194852,-173719.89337058348,173719.89337058348,0.8915479100578053
parserb,Poisson,hit_count,Poisson (hit-count estimator),19502.0,194852,-175350.0,175350.0,0.8999137807156201
parserb,Exponential,incidence_frequency,Exponential (incidence-frequency estimator),1.9502e+16,194852,1.9501999999805148e+16,1.9501999999805148e+16,100086219283.37994
parserb,Gamma,incidence_frequency,Gamma (incidence-frequency estimator),1.9502e+16,194852,1.9501999999805148e+16,1.9501999999805148e+16,100086219283.37994
parserb,Gamma-Poisson,incidence_frequency,Gamma-Poisson (incidence-frequency estimator),19568.49728500431,194852,-175283.5027149957,175283.5027149957,0.899572509981913
parserb,Negative Binomial,incidence_frequency,Negative Binomial (incidence-frequency estimator),19568.49728500431,194852,-175283.5027149957,175283.5027149957,0.899572509981913
parserb,Poisson,incidence_frequency,Poisson (incidence-frequency estimator),19502.0,194852,-175350.0,175350.0,0.8999137807156201
parserd,Exponential,hit_count,Exponential (hit-count estimator),8897.000432844052,136455,-127557.99956715594,127557.99956715594,0.9347990148192147
