subject,model,fit_family,n_obs,S_obs,lambda,p0,p_seen,estimate,unseen,loglik,aic,bic,rmse,rate,scale,mean,shape,size,prob,fit_input,base_model,best_by_rmse,best_by_aic,best_by_bic,best_by_loglik,n_obs_discrete,gof_stat,gof_p,gof_name,mu,J,C,s,q,pred,ranks
parsera,Exponential (hit-count),Exponential on nonzero averaged hit counts,9995,,,,,,,-176002.12773415493,352006.25546830986,352013.4653085568,435.3731640066534,6.120620387516616e-08,,,,,,nonzero_averaged_hit_count,Exponential,Negative Binomial (hit-count),Gamma (hit-count),Gamma (hit-count),Gamma (hit-count),,0.6444620324996039,0.0,KS,,,,,,,
parsera,Gamma (hit-count),Gamma on nonzero averaged hit counts,9995,,,,,,,-142298.6849897434,284601.3699794868,284615.7896599807,127.71123688077572,8.697929820280647e-09,114969886.01452455,16338213.068066789,0.1421086306548371,,,nonzero_averaged_hit_count,Gamma,Negative Binomial (hit-count),Gamma (hit-count),Gamma (hit-count),Gamma (hit-count),,0.16813682136816666,1.839378319495174e-247,KS,,,,,,,
parsera,Negative Binomial (hit-count),Negative Binomial on nonzero averaged hit counts,9995,,,,,,,-142340.00626942405,284684.0125388481,284698.4318191018,2.6461927602618904,,,,,0.13831337787353176,6.607971162278782e-09,nonzero_averaged_hit_count,Negative Binomial,Negative Binomial (hit-count),Gamma (hit-count),Gamma (hit-count),Gamma (hit-count),9993.0,3026067797.714677,0.0,Chi-square,20931292.459191527,,,,,,
parsera,Poisson (hit-count),Poisson on nonzero averaged hit counts,9995,,16338213.064032016,,,,,-322943946411.7535,645887892825.507,645887892832.7168,2.9741308890925673,,,,,,,nonzero_averaged_hit_count,Poisson,Negative Binomial (hit-count),Gamma (hit-count),Gamma (hit-count),Gamma (hit-count),9995.0,6.519099999998e+16,0.0,Chi-square,,,,,,,
parserb,Exponential (hit-count),Exponential on nonzero averaged hit counts,19502,,,,,,,-333233.0590816793,666468.1181633587,666475.996435662,845.0175952783669,1.0314580168359717e-07,,,,,,nonzero_averaged_hit_count,Exponential,Negative Binomial (hit-count),Gamma (hit-count),Gamma (hit-count),Gamma (hit-count),,0.7337258349230762,0.0,KS,,,,,,,
parserb,Gamma (hit-count),Gamma on nonzero averaged hit counts,19502,,,,,,,-269540.3560802444,539084.7121604888,539100.4687050956,358.1016803072861,1.4955533200496863e-08,66864884.49417353,9695014.083729068,0.14499410500849474,,,nonzero_averaged_hit_count,Gamma,Negative Binomial (hit-count),Gamma (hit-count),Gamma (hit-count),Gamma (hit-count),,0.2578912851698807,0.0,KS,,,,,,,
parserb,Negative Binomial (hit-count),Negative Binomial on nonzero averaged hit counts,19502,,,,,,,-269554.16551782144,539112.3310356429,539128.0875802496,6.50562332740507,,,,,0.14184373871184075,1.4297605866222922e-08,nonzero_averaged_hit_count,Negative Binomial,Negative Binomial (hit-count),Gamma (hit-count),Gamma (hit-count),Gamma (hit-count),19502.0,5651346704.464094,0.0,Chi-square,9920803.385615114,,,,,,
parserb,Poisson (hit-count),Poisson on nonzero averaged hit counts,19502,,9695014.078043278,,,,,-478924264504.72986,957848529011.4597,957848529019.338,6.511451097532945,,,,,,,nonzero_averaged_hit_count,Poisson,Negative Binomial (hit-count),Gamma (hit-count),Gamma (hit-count),Gamma (hit-count),19502.0,5.0645599999996096e+17,0.0,Chi-square,,,,,,,
parserd,Exponential (hit-count),Exponential on nonzero averaged hit counts,8897,,,,,,,-158710.04642027468,317422.09284054936,317429.18630996963,407.1485077302462,4.865056097726079e-08,,,,,,nonzero_averaged_hit_count,Exponential,Negative Binomial (hit-count),Gamma (hit-count),Gamma (hit-count),Gamma (hit-count),,0.6155806042487587,0.0,KS,,,,,,,
parserd,Gamma (hit-count),Gamma on nonzero averaged hit counts,8897,,,,,,,-134143.93512202782,268291.87024405564,268306.0571828961,132.52210755643654,7.823079573296266e-09,127826898.68238789,20554747.569455545,0.16080142584486873,,,nonzero_averaged_hit_count,Gamma,Negative Binomial (hit-count),Gamma (hit-count),Gamma (hit-count),Gamma (hit-count),,0.19225355399715066,1.684928168924173e-288,KS,,,,,,,
