subject,model,fit_family,n_obs,S_obs,lambda,p0,p_seen,estimate,unseen,loglik,aic,bic,rmse,rate,scale,mean,shape,size,prob,fit_input,base_model,best_by_rmse,best_by_aic,best_by_bic,best_by_loglik,n_obs_discrete,gof_stat,gof_p,gof_name,mu,J,C,s,q,pred,ranks
parsera,Exponential (incidence-frequency),discretized zero-truncated Exponential on incidence frequencies,9995,9995.0,,1.0,1e-12,9995000000000000.0,9994999999990004.0,-6628129.34528894,13256260.69057788,13256267.900418129,91.38836957933071,404.0621310251552,0.0024748669157955,0.0024748669157955,,,,incidence_frequency,Exponential,Gamma (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),,,,,,,,,,,
parsera,Gamma (incidence-frequency),discretized zero-truncated Gamma on incidence frequencies,9995,9995.0,,0.0015639335968425,0.9984360664031576,10010.656001246783,15.65600124678349,-70250.75630071791,140505.51260143582,140519.93228192968,90.58869701019474,0.0025920780403741,385.7908536795596,416.15204139238,1.0786985679500802,,,incidence_frequency,Gamma,Gamma (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),,,,,,,,,,,
parsera,Gamma-Poisson (incidence-frequency),zero-truncated Gamma-Poisson on incidence frequencies,9995,9995.0,,0.0015944601368675,0.9984055398631324,10010.962079968202,15.96207996820158,-70249.98899928454,140503.97799856908,140518.39767906294,90.58962093004772,0.0026028983813739,384.1871074014591,415.6443164634733,1.081879918550059,,,incidence_frequency,Gamma-Poisson,Gamma (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),,,,,,,,,,,
parsera,Negative Binomial (incidence-frequency),zero-truncated Negative Binomial on incidence frequencies,9995,9995.0,,0.0015947681550307,0.9984052318449692,10010.965168451768,15.965168451768475,-70249.98899333624,140503.9779866725,140518.39766716634,90.58961564110642,,,415.6371744588256,,1.0818446868460958,0.0025961010588478,incidence_frequency,Negative Binomial,Gamma (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),,,,,,,,,,,
parsera,Poisson (incidence-frequency),zero-truncated Poisson on incidence frequencies,9995,9995.0,416.3016508254127,1.5940070552852254e-181,1.0,9995.0,0.0,-1034494.5911870638,2068991.182374128,2068998.3922143744,99.57935421843472,,,,,,,incidence_frequency,Poisson,Gamma (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),,,,,,,,,,,
parserb,Exponential (incidence-frequency),discretized zero-truncated Exponential on incidence frequencies,19502,19502.0,,1.0,1e-12,1.9502e+16,1.9501999999980496e+16,-12932644.171268124,25865290.34253625,25865298.22080855,93.60352671985764,485165195.4097903,2.061153622438558e-09,2.061153622438558e-09,,,,incidence_frequency,Exponential,Negative Binomial (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
parserb,Gamma (incidence-frequency),discretized zero-truncated Gamma on incidence frequencies,19502,19502.0,,1.0,1e-12,1.9502e+16,1.9501999999980496e+16,-12932644.171268124,25865292.34253625,25865308.099080857,93.60352671985764,485165195.4097903,2.061153622438558e-09,4.248354255291589e-18,2.061153622438558e-09,,,incidence_frequency,Gamma,Negative Binomial (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
parserb,Gamma-Poisson (incidence-frequency),zero-truncated Gamma-Poisson on incidence frequencies,19502,19502.0,,0.0033981804548306,0.9966018195451694,19568.49728500431,66.49728500430865,-127667.41028561626,255338.82057123253,255354.5771158393,86.64604588228741,0.0040472606079744,247.08070392839463,254.73279663624248,1.0309700133850417,,,incidence_frequency,Gamma-Poisson,Negative Binomial (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
parserb,Negative Binomial (incidence-frequency),zero-truncated Negative Binomial on incidence frequencies,19502,19502.0,,0.0033981804548306,0.9966018195451694,19568.49728500431,66.49728500430865,-127667.41028561749,255338.82057123492,255354.57711584173,86.64604588228718,,,254.73279663624248,,1.0309700133850417,0.0040309463177298,incidence_frequency,Negative Binomial,Negative Binomial (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
parserb,Poisson (incidence-frequency),zero-truncated Poisson on incidence frequencies,19502,19502.0,254.73279663624243,2.3493734746930672e-111,1.0,19502.0,0.0,-2560609.2950489903,5121220.590097981,5121228.468370284,134.02356432016123,,,,,,,incidence_frequency,Poisson,Negative Binomial (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
